小区名,平米数,总价,均价
新景家园东区    , 89.47平米 , 928万,"103,722元/平"
青年湖北里    , 112.08平米 , 1380万,"123,127元/平"
南岗子    , 53.69平米 , 599万,"111,567元/平"
金桥国际    , 89.49平米 , 828万,"92,525元/平"
东厂北巷    , 64.75平米 , 899万,"138,842元/平"
西水井胡同    , 75.42平米 , 830万,"110,051元/平"
东晓市街    , 64.27平米 , 507万,"78,886元/平"
雍和家园一期    , 185.53平米 , 2388万,"128,713元/平"
富贵园三区    , 81.59平米 , 760万,"93,149元/平"
新景家园东区    , 60.75平米 , 710万,"116,873元/平"
本家润园C区    , 53.24平米 , 565万,"106,124元/平"
西水井胡同    , 87.34平米 , 986万,"112,893元/平"
西营房    , 102.41平米 , 1090万,"106,435元/平"
国瑞城东区    , 108.67平米 , 1179万,"108,494元/平"
阳光都市    , 191.74平米 , 1999万,"104,256元/平"
海晟名苑南区    , 127.38平米 , 1880万,"147,590元/平"
国瑞城中区    , 88.87平米 , 1060万,"119,276元/平"
官书院    , 115.9平米 , 1620万,"139,776元/平"
光明楼    , 36.62平米 , 520万,"141,999元/平"
龙潭北里    , 58.82平米 , 615万,"104,557元/平"
天坛东里南区    , 50.94平米 , 510万,"100,118元/平"
东直门外斜街    , 64.12平米 , 650万,"101,373元/平"
冠城名敦道A区    , 85.03平米 , 705万,"82,912元/平"
上龙西里    , 102.75平米 , 1090万,"106,083元/平"
草园胡同    , 53.37平米 , 658万,"123,291元/平"
东环居苑    , 64.05平米 , 610万,"95,239元/平"
夕照寺西里    , 41.4平米 , 550万,"132,851元/平"
夕照寺中街    , 58.25平米 , 530万,"90,988元/平"
永康胡同5号院    , 50.72平米 , 838万,"165,221元/平"
新景家园东区    , 88.33平米 , 936万,"105,967元/平"
华冠丽景    , 192.7平米 , 2500万,"129,736元/平"
民安小区东直门北中街    , 78.01平米 , 750万,"96,142元/平"
西革新里124号    , 54.44平米 , 439万,"80,640元/平"
华龙美晟    , 91.44平米 , 850万,"92,958元/平"
万国城MOMA    , 157.17平米 , 2150万,"136,795元/平"
广渠家园    , 71.43平米 , 715万,"100,098元/平"
国瑞城东区    , 60.84平米 , 653万,"107,331元/平"
水上华城    , 266.01平米 , 2690万,"101,125元/平"
东方银座    , 164.76平米 , 1398万,"84,851元/平"
东中街    , 107.35平米 , 1100万,"102,469元/平"
东直门外大街(东城）    , 43.5平米 , 500万,"114,943元/平"
新景家园东区    , 59.33平米 , 686万,"115,625元/平"
东四七条    , 61.41平米 , 675万,"109,917元/平"
新景家园西区    , 77.58平米 , 850万,"109,565元/平"
新景家园东区    , 80.46平米 , 960万,"119,314元/平"
忠实里    , 73.95平米 , 745万,"100,744元/平"
东方财富    , 45.29平米 , 550万,"121,440元/平"
阳光都市    , 102.98平米 , 1145万,"111,187元/平"
和平里五区    , 55.12平米 , 758万,"137,519元/平"
炮局头条    , 57.55平米 , 620万,"107,733元/平"
兴隆都市馨园    , 52.25平米 , 549万,"105,072元/平"
西营房    , 86.2平米 , 899万,"104,293元/平"
东堂子胡同    , 55.39平米 , 649万,"117,170元/平"
国瑞城中区    , 69.54平米 , 760万,"109,290元/平"
中绦胡同甲2号院    , 61.56平米 , 786万,"127,681元/平"
东四十二条    , 54.43平米 , 578万,"106,192元/平"
和平里一区    , 56.48平米 , 728万,"128,896元/平"
王家园胡同35号院    , 41.82平米 , 520万,"124,343元/平"
光明西里    , 71.75平米 , 680万,"94,774元/平"
和平里五区    , 41.18平米 , 579万,"140,603元/平"
青年湖东里    , 46.62平米 , 570万,"122,266元/平"
大方家胡同    , 111.98平米 , 1475万,"131,720元/平"
竹杆胡同    , 88.71平米 , 960万,"108,218元/平"
和平里一区    , 60.79平米 , 809万,"133,082元/平"
西营房    , 57.53平米 , 608万,"105,684元/平"
甘水桥    , 58.79平米 , 658万,"111,924元/平"
光明西里    , 50.2平米 , 535万,"106,574元/平"
新景家园东区    , 59.33平米 , 699万,"117,816元/平"
兴隆都市馨园    , 53.04平米 , 569万,"107,278元/平"
中海紫御公馆    , 67.71平米 , 778万,"114,902元/平"
香河园北里    , 57.77平米 , 587万,"101,610元/平"
禾风相府    , 92.16平米 , 1280万,"138,889元/平"
幸福南里    , 48.65平米 , 550万,"113,053元/平"
兴隆都市馨园    , 28.85平米 , 396万,"137,262元/平"
革新里小区    , 60.02平米 , 420万,"69,977元/平"
新奥洋房    , 45.43平米 , 439万,"96,633元/平"
前门东大街    , 50.55平米 , 515万,"101,880元/平"
新中西街    , 39.03平米 , 410万,"105,048元/平"
花市东三条    , 49.55平米 , 418万,"84,360元/平"
永铁苑    , 74.36平米 , 628万,"84,455元/平"
北河沿大街    , 57.89平米 , 632万,"109,173元/平"
中海紫御公馆    , 63.89平米 , 729万,"114,103元/平"
苏州胡同    , 61.21平米 , 573万,"93,613元/平"
永定门外大街    , 50.01平米 , 438万,"87,583元/平"
东直门北大街    , 64.78平米 , 710万,"109,602元/平"
交林    , 53.13平米 , 718万,"135,141元/平"
本家润园C区    , 47.86平米 , 540万,"112,830元/平"
南岗子    , 52.72平米 , 628万,"119,120元/平"
管村26号院    , 69.03平米 , 576万,"83,442元/平"
富贵园二区    , 104.18平米 , 1235万,"118,545元/平"
光明西里    , 49.87平米 , 548万,"109,886元/平"
豆瓣胡同    , 108.47平米 , 1545万,"142,436元/平"
恒基中心    , 83.29平米 , 668万,"80,202元/平"
朝阳门内大街    , 67.38平米 , 639万,"94,836元/平"
长青园    , 45.98平米 , 489万,"106,351元/平"
天坛西里东区    , 82.97平米 , 769万,"92,685元/平"
国瑞城中区    , 51.71平米 , 580万,"112,164元/平"
北官厅胡同2号院    , 58.28平米 , 680万,"116,679元/平"
青年湖北里    , 56.63平米 , 612万,"108,070元/平"
小黄庄二区    , 74.37平米 , 959万,"128,950元/平"
胡家园小区    , 65.1平米 , 680万,"104,455元/平"
东直门南大街    , 88.39平米 , 860万,"97,297元/平"
幸福家园二期    , 65.25平米 , 836万,"128,123元/平"
安外西河沿    , 47.67平米 , 580万,"121,670元/平"
西革新里112号院    , 116.23平米 , 916万,"78,810元/平"
民旺园    , 81.25平米 , 1066万,"131,200元/平"
绿景苑    , 56.29平米 , 675万,"119,915元/平"
东直门外小街8号院    , 62.92平米 , 608万,"96,631元/平"
安外西河沿    , 51.91平米 , 620万,"119,438元/平"
胡家园小区    , 56.56平米 , 635万,"112,271元/平"
天坛东里南区    , 69.82平米 , 579万,"82,928元/平"
海运仓小区    , 88.65平米 , 990万,"111,676元/平"
仓南胡同    , 78.16平米 , 950万,"121,546元/平"
