小区名,平米数,总价,均价
凤凰城二期    , 224.23平米 , 2100万,"93,654元/平"
怡景园    , 118.22平米 , 998万,"84,419元/平"
光华欣居    , 112.82平米 , 645万,"57,171元/平"
保利中央公园    , 134.35平米 , 1950万,"145,144元/平"
国风上观    , 175.57平米 , 1500万,"85,437元/平"
建业苑(松榆北路7号院)    , 136.81平米 , 796万,"58,183元/平"
远洋一方北润园    , 82.81平米 , 503万,"60,742元/平"
华严北里小区    , 62.53平米 , 535万,"85,559元/平"
安慧里二区    , 83.69平米 , 660万,"78,863元/平"
安华里社区    , 60.57平米 , 580万,"95,757元/平"
翠成馨园E区    , 78.96平米 , 356万,"45,087元/平"
大屯里小区    , 83.31平米 , 635万,"76,222元/平"
双龙南里    , 56.03平米 , 345万,"61,575元/平"
澳林春天二期    , 126.85平米 , 799万,"62,988元/平"
延静里    , 53.79平米 , 338万,"62,837元/平"
苹果派    , 112.31平米 , 715万,"63,664元/平"
电建北院    , 100.99平米 , 425万,"42,084元/平"
保利东郡    , 168.27平米 , 2000万,"118,857元/平"
瞰都国际    , 119.24平米 , 950万,"79,672元/平"
东一时区    , 160.71平米 , 850万,"52,891元/平"
晨光家园B区    , 135.04平米 , 1130万,"83,679元/平"
北苑家园望春园    , 65.84平米 , 498万,"75,638元/平"
丽水嘉园    , 98.37平米 , 900万,"91,492元/平"
富华家园    , 59.23平米 , 290万,"48,962元/平"
兴隆家园    , 75.39平米 , 460万,"61,017元/平"
首开知语城    , 91.28平米 , 860万,"94,216元/平"
八里庄北里小区    , 59.93平米 , 380万,"63,408元/平"
南新园    , 69.62平米 , 438万,"62,913元/平"
新街坊    , 65.54平米 , 496万,"75,679元/平"
易构空间    , 65.69平米 , 488万,"74,289元/平"
东方雅苑    , 48.62平米 , 399万,"82,065元/平"
垡头北里    , 61.21平米 , 248万,"40,517元/平"
金隅康惠园1号院    , 58.75平米 , 272万,"46,298元/平"
安慧里二区    , 79.2平米 , 644万,"81,314元/平"
瑞祥里    , 80.54平米 , 395万,"49,044元/平"
东恒时代一期    , 99.17平米 , 710万,"71,595元/平"
国美第一城3号院    , 98.14平米 , 725万,"73,875元/平"
华业玫瑰郡    , 68.84平米 , 605万,"87,885元/平"
中国铁建国际城    , 77.04平米 , 760万,"98,651元/平"
金隅丽景园    , 69.34平米 , 369万,"53,217元/平"
北苑家园紫绶园    , 93.72平米 , 540万,"57,619元/平"
富力城D区    , 109.01平米 , 1345万,"123,384元/平"
珠江绿洲    , 99.38平米 , 530万,"53,331元/平"
潘家园东里    , 64.1平米 , 390万,"60,843元/平"
合生国际花园    , 135.48平米 , 1335万,"98,539元/平"
万象新天天际高尔夫    , 173.73平米 , 1050万,"60,439元/平"
拂林园    , 172.7平米 , 1089万,"63,058元/平"
和平街八区    , 110.17平米 , 1000万,"90,769元/平"
太阳国际公馆    , 183.64平米 , 1550万,"84,405元/平"
香江花园    , 199.14平米 , 2180万,"109,471元/平"
卓锦万代    , 304.87平米 , 2400万,"78,723元/平"
世纪龙祥嘉园    , 160.3平米 , 830万,"51,778元/平"
国美第一城2号院    , 136.04平米 , 799万,"58,733元/平"
财满街财经中心    , 167.48平米 , 370万,"22,093元/平"
大西洋新城A区    , 132.93平米 , 1099万,"82,676元/平"
安慧北里逸园    , 139.65平米 , 976万,"69,890元/平"
润泽公馆    , 88.54平米 , 835万,"94,308元/平"
富力城D区    , 111.17平米 , 1290万,"116,039元/平"
丽景馨居    , 64.03平米 , 415万,"64,814元/平"
艺水芳园    , 92.64平米 , 446万,"48,144元/平"
西坝河东里    , 60.11平米 , 475万,"79,022元/平"
烟厂宿舍    , 66.03平米 , 355万,"53,764元/平"
天润福熙大道    , 148.43平米 , 1550万,"104,427元/平"
百子湾家园三区    , 101.83平米 , 600万,"58,922元/平"
澳林春天二期    , 104.48平米 , 775万,"74,177元/平"
花家地北里    , 53.71平米 , 430万,"80,060元/平"
丝竹园小区    , 56.74平米 , 465万,"81,953元/平"
幸福二村    , 54平米 , 450万,"83,334元/平"
松榆东里    , 58.97平米 , 355万,"60,201元/平"
绿岛苑西区    , 75.74平米 , 353万,"46,607元/平"
金隅康惠园2号院    , 76.06平米 , 359万,"47,200元/平"
惠新西街33号院    , 62.66平米 , 519万,"82,828元/平"
柏林爱乐一期    , 67平米 , 398万,"59,403元/平"
天之骄子    , 140.56平米 , 1225万,"87,152元/平"
北苑家园紫绶园    , 81.25平米 , 499万,"61,416元/平"
八里庄北里小区    , 68.08平米 , 458万,"67,274元/平"
胜古北里     , 52.36平米 , 445万,"84,989元/平"
双龙南里    , 73.07平米 , 348万,"47,626元/平"
金隅汇星苑    , 81.36平米 , 545万,"66,987元/平"
建东苑    , 78.91平米 , 388万,"49,170元/平"
方丹苑    , 84.55平米 , 610万,"72,147元/平"
白家庄北里    , 69.15平米 , 585万,"84,599元/平"
双合家园    , 86.99平米 , 386万,"44,373元/平"
苹果派    , 59.86平米 , 400万,"66,823元/平"
国美第一城2号院    , 88.6平米 , 615万,"69,414元/平"
农光里    , 62.36平米 , 317万,"50,834元/平"
北辰福第一号院    , 87.16平米 , 445万,"51,056元/平"
新源街    , 56.72平米 , 435万,"76,693元/平"
松榆里    , 43.34平米 , 284万,"65,529元/平"
华纺星海家园    , 56.86平米 , 318万,"55,927元/平"
安贞西里    , 42.15平米 , 418万,"99,170元/平"
倚林佳园    , 177.1平米 , 1750万,"98,815元/平"
臻园    , 178.46平米 , 2050万,"114,872元/平"
新城国际    , 190.16平米 , 2150万,"113,063元/平"
中海城南区    , 131.34平米 , 1060万,"80,707元/平"
首开常青藤四期    , 138.88平米 , 1050万,"75,605元/平"
万豪国际公寓    , 134.12平米 , 1020万,"76,052元/平"
珠江罗马嘉园东区    , 176.09平米 , 1340万,"76,098元/平"
红玺台    , 274.92平米 , 4350万,"158,228元/平"
天创世缘    , 132.11平米 , 878万,"66,460元/平"
宝星园一区    , 169.99平米 , 1210万,"71,181元/平"
富力又一城B区    , 139.03平米 , 775万,"55,744元/平"
翠成馨园C区    , 128.36平米 , 609万,"47,445元/平"
望京新城    , 130.56平米 , 819万,"62,730元/平"
火星园    , 133.01平米 , 1845万,"138,712元/平"
华鼎世家    , 212.37平米 , 1550万,"72,986元/平"
融科橄榄城二期    , 123.1平米 , 1168万,"94,883元/平"
爱这城二期    , 161.53平米 , 1450万,"89,767元/平"
首开琅樾二期    , 475.15平米 , 2580万,"54,299元/平"
观湖国际    , 262.25平米 , 2660万,"101,430元/平"
格林莱雅    , 149.4平米 , 875万,"58,568元/平"
上林世家    , 275.65平米 , 3400万,"123,345元/平"
美景东方    , 125.76平米 , 1030万,"81,903元/平"
松榆西里    , 55.56平米 , 345万,"62,096元/平"
光大名筑    , 120.63平米 , 1180万,"97,820元/平"
阳光新干线    , 149.43平米 , 1490万,"99,713元/平"
盛和家园    , 144.2平米 , 1130万,"78,364元/平"
天润福熙大道    , 140.66平米 , 1379万,"98,038元/平"
世贸国际公寓    , 258.01平米 , 2285万,"88,563元/平"
富力城A区    , 129.86平米 , 1300万,"100,108元/平"
富力城B区    , 130.5平米 , 1500万,"114,943元/平"
丰和园    , 140.68平米 , 1748万,"124,254元/平"
鹿港嘉苑    , 147.1平米 , 1300万,"88,376元/平"
西坝河北里202号院    , 92.13平米 , 685万,"74,352元/平"
望京西园三区    , 149.82平米 , 1080万,"72,087元/平"
上京新航线    , 108.23平米 , 1096万,"101,266元/平"
富力城B区    , 248.27平米 , 2606万,"104,967元/平"
奥林匹克花园二期    , 131.25平米 , 955万,"72,762元/平"
柏林爱乐一期    , 130.27平米 , 758万,"58,187元/平"
美然动力A3区    , 120.83平米 , 559万,"46,264元/平"
珠江绿洲    , 152.72平米 , 699万,"45,771元/平"
高家园二区    , 104.41平米 , 616万,"58,999元/平"
