小区名,平米数,总价,均价
中海馥园    , 134.86平米 , 1850万,"137,180元/平"
碧水云天    , 170.08平米 , 3050万,"179,328元/平"
新康园    , 102.6平米 , 680万,"66,277元/平"
普惠南里    , 42.7平米 , 545万,"127,635元/平"
丙28号院    , 51.5平米 , 535万,"103,884元/平"
冬晴园    , 62.7平米 , 565万,"90,112元/平"
羊坊店居民楼    , 54.1平米 , 535万,"98,891元/平"
柳林馆    , 82.5平米 , 1095万,"132,728元/平"
永定路甲19号院    , 110.69平米 , 1069万,"96,577元/平"
美丽园    , 251.42平米 , 2980万,"118,527元/平"
如园北区    , 227.02平米 , 2989万,"131,663元/平"
领秀新硅谷1号院    , 143.69平米 , 1315万,"91,517元/平"
观山园    , 210.76平米 , 3320万,"157,526元/平"
紫竹院路62号院    , 168.55平米 , 1150万,"68,230元/平"
海赋国际    , 226.09平米 , 2320万,"102,615元/平"
莲花小区    , 120.58平米 , 910万,"75,469元/平"
皂君东里    , 65.5平米 , 593万,"90,535元/平"
知春里    , 74.1平米 , 740万,"99,866元/平"
锋尚国际    , 102.06平米 , 1730万,"169,509元/平"
天秀花园安和园    , 55.48平米 , 507万,"91,385元/平"
国家气象局    , 57.52平米 , 798万,"138,735元/平"
曙光花园    , 105.63平米 , 1128万,"106,788元/平"
菊园    , 64.35平米 , 550万,"85,471元/平"
粮食局宿舍    , 66.7平米 , 733万,"109,896元/平"
美丽西园    , 67.9平米 , 715万,"105,302元/平"
首师大东校区    , 88.5平米 , 960万,"108,475元/平"
小营东路6号院    , 52.5平米 , 430万,"81,905元/平"
田村山南路18号院    , 70.5平米 , 480万,"68,086元/平"
郦城二区    , 100.33平米 , 1200万,"119,606元/平"
展春园    , 64.8平米 , 678万,"104,630元/平"
天秀花园古月园    , 138.04平米 , 1350万,"97,798元/平"
远洋风景    , 160.09平米 , 2200万,"137,423元/平"
领秀硅谷    , 193.03平米 , 1950万,"101,021元/平"
鲁艺上河村    , 203.15平米 , 3050万,"150,136元/平"
缘溪堂    , 310平米 , 3580万,"115,484元/平"
百旺家苑    , 139.86平米 , 1288万,"92,093元/平"
今日家园    , 128平米 , 1129万,"88,204元/平"
太阳园    , 135.99平米 , 1750万,"128,686元/平"
世纪新景    , 164.64平米 , 1800万,"109,330元/平"
香溪度    , 163.47平米 , 1499万,"91,699元/平"
瑞新里小区    , 135.05平米 , 1699万,"125,806元/平"
牡丹园西里    , 66平米 , 685万,"103,788元/平"
大柳树甲17号院    , 51.4平米 , 520万,"101,168元/平"
中塔园    , 56.86平米 , 650万,"114,316元/平"
永定路西里小区    , 58.2平米 , 699万,"120,104元/平"
太平路8号院    , 57.4平米 , 530万,"92,335元/平"
上庄家园西区    , 55.2平米 , 332万,"60,145元/平"
中鑫嘉园    , 93.26平米 , 965万,"103,475元/平"
芙蓉里    , 41.1平米 , 520万,"126,521元/平"
铁西小区    , 56.7平米 , 550万,"97,002元/平"
苗圃宿舍    , 49.5平米 , 398万,"80,405元/平"
又一村    , 53.26平米 , 555万,"104,206元/平"
