小区名,平米数,总价,均价
三里河路    , 81.6平米 , 1044万,"127,942元/平"
车站东街甲9号院    , 54.68平米 , 579万,"105,889元/平"
畅柳园    , 79.73平米 , 880万,"110,373元/平"
西四北大街160号    , 71平米 , 1100万,"154,930元/平"
如意里    , 73.4平米 , 968万,"131,881元/平"
荣丰2008    , 32.84平米 , 520万,"158,344元/平"
天宁寺东里    , 60.99平米 , 533万,"87,392元/平"
护国寺西巷57号院    , 54.1平米 , 760万,"140,481元/平"
建功北里    , 102.88平米 , 1050万,"102,061元/平"
阜成门外北四巷    , 119.9平米 , 1500万,"125,105元/平"
大红罗厂3号院    , 117.8平米 , 1920万,"162,989元/平"
水电部宿舍    , 84.5平米 , 930万,"110,060元/平"
天桥北里    , 60.79平米 , 547万,"89,982元/平"
清芷园    , 91.75平米 , 1200万,"130,791元/平"
平原里小区    , 90.52平米 , 925万,"102,188元/平"
北欧印象    , 73.65平米 , 858万,"116,497元/平"
平原里小区    , 63.79平米 , 738万,"115,693元/平"
铁二区    , 44.5平米 , 742万,"166,742元/平"
百万庄丑区    , 77.6平米 , 946万,"121,908元/平"
东桃园    , 111.8平米 , 1440万,"128,802元/平"
西直门外南路24号院    , 88.9平米 , 1058万,"119,011元/平"
阜成门外大街    , 91.4平米 , 860万,"94,092元/平"
教场口9号院    , 84.92平米 , 1230万,"144,843元/平"
右安门内西街甲2号院    , 155.83平米 , 1500万,"96,259元/平"
荣丰2008    , 27.78平米 , 392万,"141,109元/平"
裕中西里    , 41.6平米 , 705万,"169,472元/平"
菜园北里    , 48.4平米 , 485万,"100,207元/平"
西便门西里    , 77.1平米 , 880万,"114,138元/平"
复兴门外大街    , 69.9平米 , 855万,"122,318元/平"
月坛西街乙2号院    , 71.2平米 , 1135万,"159,411元/平"
国英园    , 167.2平米 , 2045万,"122,309元/平"
畅柳园    , 65.79平米 , 740万,"112,480元/平"
建功北里    , 47.25平米 , 545万,"115,344元/平"
车站东街甲9号院    , 42.35平米 , 499万,"117,828元/平"
复兴门北大街    , 43.5平米 , 725万,"166,667元/平"
展览路    , 35.5平米 , 405万,"114,085元/平"
马连道中里    , 78.44平米 , 768万,"97,910元/平"
建功南里    , 57.62平米 , 575万,"99,792元/平"
车站西街1号院    , 107.9平米 , 950万,"88,045元/平"
荣丰2008    , 30.31平米 , 530万,"174,860元/平"
红莲北里    , 54.37平米 , 648万,"119,184元/平"
月坛北小街    , 57.3平米 , 785万,"136,999元/平"
黄寺大街24号院    , 59.8平米 , 930万,"155,519元/平"
车公庄北里    , 64平米 , 808万,"126,250元/平"
三里河一区3号院    , 105.5平米 , 1755万,"166,351元/平"
北露园    , 77.2平米 , 889万,"115,156元/平"
禄长街头条19号院    , 54.2平米 , 655万,"120,849元/平"
新风街1号院    , 109.78平米 , 1950万,"177,628元/平"
月坛南街2号院    , 59.3平米 , 700万,"118,044元/平"
新风南里    , 54.3平米 , 868万,"159,853元/平"
天宁寺东里    , 60.99平米 , 535万,"87,720元/平"
展览路    , 79.2平米 , 925万,"116,793元/平"
泰和嘉苑    , 117.98平米 , 1460万,"123,750元/平"
阜成门外大街甲41号    , 76.85平米 , 808万,"105,140元/平"
国英园    , 84.1平米 , 1060万,"126,041元/平"
西直门南大街    , 66.9平米 , 929万,"138,864元/平"
阜成门外大街    , 112.6平米 , 1450万,"128,775元/平"
万明园    , 43平米 , 605万,"140,698元/平"
三里河一区2号院    , 56.4平米 , 962万,"170,568元/平"
荣丰2008    , 27.09平米 , 418万,"154,301元/平"
月坛南街北里    , 70.5平米 , 956万,"135,603元/平"
荣丰2008    , 39.48平米 , 515万,"130,446元/平"
汽北小区    , 55.8平米 , 669万,"119,893元/平"
广安门外大街    , 69.32平米 , 718万,"103,578元/平"
长椿街西里    , 62.19平米 , 735万,"118,187元/平"
复兴门北大街    , 87.1平米 , 1018万,"116,878元/平"
陶然亭路    , 58.75平米 , 716万,"121,873元/平"
西城晶华    , 117.44平米 , 1985万,"169,023元/平"
阜成门外北街    , 46.4平米 , 630万,"135,776元/平"
建功东里    , 50.08平米 , 545万,"108,826元/平"
车公庄中里    , 37.3平米 , 569万,"152,547元/平"
红莲南里    , 53.95平米 , 620万,"114,922元/平"
白广路东里    , 49.72平米 , 575万,"115,648元/平"
三里河二区A区    , 117.6平米 , 1760万,"149,660元/平"
马连道路5号院    , 54.03平米 , 545万,"100,870元/平"
新华里12号院    , 87.14平米 , 1100万,"126,234元/平"
鸭子桥北里    , 53.68平米 , 550万,"102,460元/平"
荣丰2008    , 51.19平米 , 723万,"141,239元/平"
德胜里一区    , 60.6平米 , 950万,"156,766元/平"
北礼士路70号院    , 48.8平米 , 665万,"136,271元/平"
车站西街15号院    , 51.77平米 , 589万,"113,773元/平"
安德东里    , 51平米 , 848万,"166,275元/平"
月坛北街甲1号院    , 79.5平米 , 980万,"123,271元/平"
如意里    , 58.1平米 , 669万,"115,147元/平"
恬心家园    , 87.57平米 , 830万,"94,782元/平"
三塔社区    , 50.5平米 , 673万,"133,268元/平"
红莲北里    , 61.18平米 , 645万,"105,427元/平"
月坛南街小四道口    , 60.18平米 , 879万,"146,062元/平"
小红庙    , 69.06平米 , 749万,"108,457元/平"
华远北街    , 100.4平米 , 1508万,"150,200元/平"
展览路    , 59.7平米 , 716万,"119,933元/平"
荣丰2008    , 35.77平米 , 510万,"142,578元/平"
右安门内西街    , 36.38平米 , 540万,"148,434元/平"
百万庄2号院    , 66平米 , 693万,"105,000元/平"
富国里小区    , 57.4平米 , 930万,"162,021元/平"
鸭子桥北里    , 44.01平米 , 515万,"117,019元/平"
月坛南街19号院    , 43.5平米 , 719万,"165,288元/平"
丽水莲花    , 71.35平米 , 900万,"126,139元/平"
远见名苑    , 54.86平米 , 608万,"110,828元/平"
三里河北街3号院    , 92.3平米 , 1330万,"144,096元/平"
白云路七号院    , 57.8平米 , 830万,"143,599元/平"
白广路    , 40.86平米 , 473万,"115,762元/平"
北礼士路    , 77.7平米 , 938万,"120,721元/平"
双旗杆东里    , 85.7平米 , 1170万,"136,523元/平"
双旗杆东里    , 59.4平米 , 908万,"152,862元/平"
木樨地    , 61.3平米 , 895万,"146,004元/平"
天宁寺东里    , 60.99平米 , 539万,"88,376元/平"
德胜里一区    , 57.2平米 , 838万,"146,504元/平"
前桃园1号    , 51.7平米 , 650万,"125,726元/平"
铁二区    , 60.3平米 , 860万,"142,621元/平"
冠英园小区    , 53.31平米 , 725万,"135,997元/平"
平原里小区    , 67.53平米 , 735万,"108,841元/平"
新外大街10号院    , 45.8平米 , 800万,"174,673元/平"
马连道中里    , 77.18平米 , 875万,"113,372元/平"
月坛南街北里    , 71平米 , 1050万,"147,888元/平"
德胜里二区    , 66.58平米 , 1075万,"161,460元/平"
新外大街甲8号院    , 57.7平米 , 920万,"159,446元/平"
远见国际公寓    , 48.79平米 , 475万,"97,357元/平"
新明胡同    , 67.4平米 , 899万,"133,383元/平"
三里河居民区    , 56.8平米 , 890万,"156,691元/平"
小石桥胡同11号院    , 52.5平米 , 860万,"163,810元/平"
团结大院    , 71.2平米 , 810万,"113,765元/平"
远见名苑    , 57.75平米 , 558万,"96,624元/平"
红莲南里    , 36.17平米 , 488万,"134,919元/平"
虎坊路小区    , 67.88平米 , 618万,"91,044元/平"
红居斜街4号院    , 33.55平米 , 436万,"129,956元/平"
红莲中里    , 31.7平米 , 440万,"138,802元/平"
常青藤嘉园    , 63.9平米 , 640万,"100,157元/平"
荣丰2008    , 27.86平米 , 471万,"169,060元/平"
羊肉胡同120号院    , 41.5平米 , 746万,"179,760元/平"
复兴门外大街    , 67.7平米 , 998万,"147,416元/平"
南露园    , 50.6平米 , 620万,"122,530元/平"
新德街35号院    , 49.3平米 , 735万,"149,088元/平"
裕中西里    , 42.5平米 , 718万,"168,942元/平"
三义东里    , 38.86平米 , 489万,"125,837元/平"
西城晶华    , 88.62平米 , 1395万,"157,414元/平"
小红庙南里    , 68.69平米 , 705万,"102,636元/平"
马甸南村    , 54.8平米 , 830万,"151,460元/平"
远见名苑    , 81.18平米 , 985万,"121,336元/平"
安德馨居    , 113.07平米 , 1386万,"122,579元/平"
安德馨居    , 115.23平米 , 1660万,"144,060元/平"
马连道西里    , 70.64平米 , 715万,"101,218元/平"
展览路    , 61.4平米 , 798万,"129,968元/平"
三里河东路7号院    , 84平米 , 1280万,"152,381元/平"
天宁寺西里    , 58.27平米 , 575万,"98,679元/平"
车公庄北里    , 70.4平米 , 916万,"130,114元/平"
真武庙    , 56.4平米 , 798万,"141,490元/平"
蝶翠华庭    , 94.41平米 , 1041万,"110,264元/平"
建功北里    , 78.65平米 , 750万,"95,360元/平"
里仁街6号院    , 56.89平米 , 680万,"119,529元/平"
