[29, 31] ['整租·宝龙城市广场(青浦) 3室2厅 南', '青浦-赵巷-宝龙城市广场(青浦)', 66.73, 3, 4800, 4800]
[37, 243] ['整租·金城大厦 1室1厅 北', '静安-西藏北路-金城大厦', 35.0, 1, 4100, 4100]
[41, 2127] ['整租·金鼎香樟苑(西区) 2室2厅 南/北', '嘉定-丰庄-金鼎香樟苑(西区)', 88.0, 2, 6000, 6000]
[42, 1333] ['整租·祥腾生活广场 1室1厅 西', '宝山-淞南-祥腾生活广场', 42.06, 1, 4200, 4200]
[53, 2072] ['整租·上海康城 2室2厅 南', '闵行-莘闵别墅-上海康城', 95.47, 2, 5700, 5700]
[58, 73] ['整租·月浦九村 3室1厅 南', '宝山-月浦-月浦九村', 69.65, 3, 4000, 4000]
[63, 1838] ['整租·浦江世博家园九街坊 2室2厅 南', '闵行-浦江-浦江世博家园九街坊', 75.73, 2, 5800, 5800]
[79, 2857] ['整租·三泾南宅 1室0厅 南', '长宁-中山公园-三泾南宅', 33.53, 1, 5700, 5700]
[85, 88] ['整租·番禺路222弄11支弄 2室1厅 南', '长宁-新华路-番禺路222弄11支弄', 58.2, 2, 9200, 9200]
[95, 3034] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 3063] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 3152] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 3241] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 3390] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 3479] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 3808] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 3867] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 4166] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 4315] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 4494] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 4523] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 4732] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 4761] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 5030] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 5149] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 5928] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 5957] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 5986] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 6105] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 6164] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 6193] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 6672] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 6701] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 6880] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 6939] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 7088] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 7147] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 7206] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 7265] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 7294] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 7323] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 7592] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 7921] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 8220] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 8249] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 8458] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 8577] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 8696] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 8965] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 9024] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 9983] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 10132] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 10311] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 10400] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 10519] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 10608] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 10757] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 10816] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 11085] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 11174] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 11323] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 11442] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 11561] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 12070] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 12219] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
