[16, 1375] ['整租·翠成馨园B区 2室2厅 南', '朝阳-垡头-翠成馨园B区', 92.0, 2, 6700, 6700]
[29, 30] ['整租·后现代城B区 2室2厅 北', '朝阳-大望路-后现代城B区', 115.0, 2, 11000, 11000]
[49, 60] ['整租·美利国际 2房间 北', '大兴-旧宫-美利国际', 130.0, 2, 7900, 7900]
[54, 59] ['整租·金澳国际 1室0厅 西南', '海淀-马甸-金澳国际', 55.0, 1, 7200, 7200]
[74, 231] ['整租·苏州街33号公寓 1房间 西北', '海淀-苏州桥-苏州街33号公寓', 67.4, 1, 8500, 8500]
[77, 98] ['整租·中国铁建顺鑫汇 3房间 南/北', '顺义-顺义其它-中国铁建顺鑫汇', 66.0, 3, 3700, 3700]
[80, 2787] ['整租·冠城名敦道A区 1室1厅 西南', '东城-广渠门-冠城名敦道A区', 83.0, 1, 8800, 8800]
[85, 87] ['整租·新华联丽港 1房间 东', '朝阳-酒仙桥-新华联丽港', 52.0, 1, 5500, 5500]
[86, 87] ['整租·IDCITY艾迪城 3房间 复式 南', '顺义-后沙峪-IDCITY艾迪城', 62.0, 3, 7600, 7600]
[87, 2122] ['整租·绿地中央广场 2房间 南', '大兴-高米店-绿地中央广场', 91.68, 2, 8500, 8500]
[88, 1341] ['整租·宜品上层 1房间 南', '海淀-上地-宜品上层', 58.0, 1, 5600, 5600]
[88, 1663] ['整租·宜品上层 1房间 南', '海淀-上地-宜品上层', 58.0, 1, 5600, 5600]
[91, 2759] ['整租·八里庄路62号院 2房间 南', '海淀-定慧寺-八里庄路62号院', 79.0, 2, 8600, 8600]
[110, 2972] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 3091] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 3120] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 3149] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 3238] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 3327] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 3686] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 4015] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 4104] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 4313] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 5122] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 5241] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 5360] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 5539] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 5778] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 6077] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 6106] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 6645] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 7124] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 7183] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 7302] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 7541] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 7750] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 7869] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 8018] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 8167] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 8196] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 8375] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 8704] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 8763] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 8792] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 8851] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 8940] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 9029] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 9538] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 9657] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 9716] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 9745] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 9924] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 9983] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 10042] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 10341] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 10400] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 10459] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 10578] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 10607] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 10666] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 11055] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 11204] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 11323] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 11412] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 11801] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 12100] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 12219] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 12278] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 12307] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 12336] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 12575] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 12604] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 12663] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 12782] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 12991] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 13110] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 13379] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 13528] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 14097] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 14636] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 14755] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 14904] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 14933] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 15292] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 15351] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 15410] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 15619] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 15918] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 16337] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 16456] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 16485] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 16724] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 16753] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 16812] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 17111] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 17380] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 17439] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 17498] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 17527] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
[110, 17616] ['整租·润枫领尚 4室2厅 南/北', '通州-通州其它-润枫领尚', 265.54, 4, 15000, 15000]
