[11, 891] ['独栋·泊寓 立基公馆店 实惠精致户（独立厨房 开间', nan, '34.29-40.71', '1', 1819, 1879]
[15, 1192] ['整租·荣城北苑 2室2厅 南', '庐阳-林店-荣城北苑', '90.00', '2', 1500, 1500]
[16, 1236] ['整租·凤阳五村 3室2厅 南/北', '瑶海-三里街-凤阳五村', '110.41', '3', 2200, 2200]
[19, 2408] ['整租·舒城路13号 2室1厅 南', '庐阳-逍遥津-舒城路13号', '62.42', '2', 2300, 2300]
[22, 2178] ['整租·禹洲中央广场D区 3室2厅 南/北', '肥东-肥东-禹洲中央广场D区', '89.00', '3', 1500, 1500]
[22, 2963] ['整租·禹洲中央广场D区 3室2厅 南/北', '肥东-肥东-禹洲中央广场D区', '89.00', '3', 1500, 1500]
[23, 692] ['独栋·合肥壹间公寓 城市主场店 精选阳光单间 1室1厅', nan, '48.09', '1', 1635, 1635]
[24, 2309] ['整租·龙湖瑶海天街 2室1厅 复式 南', '瑶海-龙岗-龙湖瑶海天街', '35.00', '2', 1500, 1500]
[25, 694] ['独栋·合肥壹间公寓 城市主场店 精选温馨一居 1室1厅', nan, '48.09', '1', 1572, 1572]
[26, 34] ['整租·祥源花世界 3室1厅 南', '肥西-肥西-祥源花世界', '93.51', '3', 1600, 1600]
[28, 35] ['整租·祥源花世界 3室2厅 南', '肥西-肥西-祥源花世界', '130.00', '3', 1500, 1500]
[56, 58] ['整租·滨湖新地城 2室1厅 南', '滨湖新区-滨湖世纪-滨湖新地城', '70.00', '2', 2000, 2000]
[63, 1365] ['整租·万科公园大道 3室1厅 南', '长丰-北城-万科公园大道', '89.94', '3', 1500, 1500]
[63, 2912] ['整租·万科公园大道 3室1厅 南', '长丰-北城-万科公园大道', '89.94', '3', 1500, 1500]
[65, 2918] ['整租·东煌公寓 3室1厅 东南/北', '庐阳-杏林-东煌公寓', '140.33', '3', 2800, 2800]
[67, 2922] ['整租·天骄国际 3室1厅 南', '瑶海-胜利路-天骄国际', '97.00', '3', 2200, 2200]
[71, 3105] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 3404] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 3493] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 3612] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 3671] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 5140] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 5289] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 5498] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 5527] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 5646] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 5675] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 5734] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 6003] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 6092] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 6271] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 6390] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 6659] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 6778] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
