title,name,area,rooms,price_lower,price_upper
整租·振兴小区(徐汇) 2室0厅 南,徐汇-徐家汇-振兴小区(徐汇),26.10,2,7800,7800
整租·保民新村 1室1厅 南,虹口-北外滩-保民新村,26.04,1,4100,4100
整租·沿海丽水馨庭(公寓) 2室2厅 南,松江-莘闵别墅-沿海丽水馨庭(公寓),86.25,2,3500,3500
整租·宝景苑 2室2厅 南/北,宝山-淞南-宝景苑,88.52,2,6100,6100
整租·东力新村 1室1厅 南,浦东-高行-东力新村,43.66,1,4200,4200
整租·万科梦想派 2室1厅 南,松江-松江大学城-万科梦想派,73.88,2,5500,5500
整租·泗塘二村 2室1厅 南,宝山-张庙-泗塘二村,47.20,2,4500,4500
整租·信达蓝爵 2室2厅 南,松江-松江大学城-信达蓝爵,82.20,2,4800,4800
整租·上南七村 1室0厅 南,浦东-世博-上南七村,29.00,1,4800,4800
整租·中泰公寓 4室2厅 南,黄浦-人民广场-中泰公寓,218.45,4,23000,23000
整租·法华镇路588弄 2室1厅 南,长宁-新华路-法华镇路588弄,49.11,2,8500,8500
整租·虹梅南路96弄 2室1厅 南,徐汇-华东理工-虹梅南路96弄,69.64,2,5000,5000
整租·安顺路271号 1室1厅 南,长宁-虹桥-安顺路271号,32.89,1,5900,5900
整租·上农新村 1室1厅 南,虹口-曲阳-上农新村,36.62,1,4300,4300
整租·新中新村 1室1厅 南,虹口-凉城-新中新村,46.27,1,4500,4500
整租·延平路482弄 1室1厅 北,静安-曹家渡-延平路482弄,27.00,1,4200,4200
整租·虹桥博雅苑 2室2厅 南,闵行-华漕-虹桥博雅苑,90.00,2,4200,4200
整租·金杨新村三街坊 2室1厅 南,浦东-金杨-金杨新村三街坊,58.24,2,6300,6300
整租·崮山小区一街坊 2室1厅 南,浦东-洋泾-崮山小区一街坊,70.46,2,6500,6500
整租·星苑小区 1室1厅 南,虹口-凉城-星苑小区,35.69,1,4200,4200
整租·金地褐石苑 3室2厅 南/北,松江-泗泾-金地褐石苑,86.19,3,6500,6500
整租·控江一村 2室2厅 南,杨浦-控江路-控江一村,62.02,2,6800,6800
整租·盛安家园 1室1厅 南,虹口-江湾镇-盛安家园,62.87,1,5000,5000
整租·浦发博园(公寓) 2室1厅 南,浦东-三林-浦发博园(公寓),92.58,2,7800,7800
整租·旭辉世纪广场 1室1厅 北,普陀-长征-旭辉世纪广场,41.10,1,6800,6800
整租·金城大厦 1室0厅 北,静安-西藏北路-金城大厦,37.00,1,4300,4300
整租·美丽园大酒店 1室1厅 北,静安-静安寺-美丽园大酒店,44.71,1,6800,6800
