title,name,area,rooms,price_lower,price_upper
整租·首开熙悦山澜庭 3室1厅 东南/北,房山-长阳-首开熙悦山澜庭,98.00,3,5500,5500
整租·翠成馨园C区 2室1厅 南/北,朝阳-垡头-翠成馨园C区,86.28,2,6300,6300
整租·永顺南街164号院 3室1厅 南/北,通州-万达-永顺南街164号院,60.00,3,3800,3800
整租·万和斐丽 3室1厅 东/西,大兴-瀛海-万和斐丽,90.00,3,5600,5600
整租·中和家园 4室2厅 东/西,朝阳-南沙滩-中和家园,133.60,4,10000,10000
整租·集贤雅苑北区 2室2厅 南/北,大兴-旧宫-集贤雅苑北区,89.00,2,5000,5000
整租·广和南里二条 1室1厅 南/北,朝阳-劲松-广和南里二条,45.00,1,5200,5200
整租·西直门内大街 1室1厅 南,西城-官园-西直门内大街,47.00,1,7000,7000
整租·华威西里 2室1厅 西南,朝阳-潘家园-华威西里,66.68,2,6800,6800
整租·顺八条1号院 3室1厅 南/北,丰台-宋家庄-顺八条1号院,120.00,3,8000,8000
整租·光彩家园 1室1厅 南,丰台-赵公口-光彩家园,59.99,1,5300,5300
整租·三山新新家园 2室1厅 南/北,顺义-后沙峪-三山新新家园,75.00,2,4400,4400
整租·芍药居北里 1室1厅 东/西/北,朝阳-芍药居-芍药居北里,71.19,1,6800,6800
整租·嘉铭桐城D区 1室1厅 南,朝阳-亚运村小营-嘉铭桐城D区,63.14,1,8700,8700
整租·景泰西里西区 2室1厅 南/北,东城-永定门-景泰西里西区,87.62,2,8500,8500
整租·南华小区 1室1厅 东南,丰台-马家堡-南华小区,57.76,1,4600,4600
整租·翠成馨园B区 2室2厅 南,朝阳-垡头-翠成馨园B区,92.00,2,6700,6700
整租·沸城 3室1厅 南/西,丰台-卢沟桥-沸城,111.00,3,5200,5200
整租·北京金科天籁城 2室1厅 南/北,大兴-天宫院-北京金科天籁城,89.84,2,4800,4800
整租·gogo新世代 1室0厅 西,丰台-方庄-gogo新世代,46.39,1,5600,5600
整租·周庄子家园 2室1厅 南/北,丰台-七里庄-周庄子家园,90.00,2,7200,7200
整租·那尔水晶城 1室1厅 南,大兴-枣园-那尔水晶城,63.96,1,4100,4100
整租·北花园小区1号院 1室0厅 南,朝阳-双桥-北花园小区1号院,51.16,1,4300,4300
整租·后永康北巷 1室1厅 南,东城-东直门-后永康北巷,20.00,1,4200,4200
整租·中国铁建国际公馆 2室1厅 东/西,大兴-亦庄开发区其它-中国铁建国际公馆,83.00,2,5200,5200
整租·百荣嘉园 1室1厅 南,东城-永定门-百荣嘉园,43.08,1,5000,5000
