title,name,area,rooms,price_lower,price_upper
整租·五金五厂宿舍 2室2厅 南,庐阳-杏林-五金五厂宿舍,67.75,2,1600,1600
合租·珠光花园 4居室 南卧,庐阳-杏林-五金五厂宿舍,67.75,2,780,780
整租·恒大水晶国际广场 1室1厅 南,包河-常青-恒大水晶国际广场,46.99,1,2450,2450
合租·海雨家园 4居室 北卧,包河-常青-恒大水晶国际广场,46.99,1,850,850
整租·绿地香树花城 4室2厅 南,新站-七里塘-绿地香树花城,140.33,4,2800,2800
独栋·忆初公寓 品恩科技园店 408 1室1厅,新站-七里塘-绿地香树花城,140.33,4,2100,2100
整租·高铁都市花园东苑 3室2厅 南,包河-常青-高铁都市花园东苑,118.00,3,2600,2600
独栋·丽居公寓 红枫路店 朝南温馨朝北简约小屋 开间,包河-常青-高铁都市花园东苑,118.00,3,1300,1300
整租·高铁都市花园东苑 3室2厅 南,包河-常青-高铁都市花园东苑,118.47,3,2600,2600
独栋·龙湖冠寓 合肥亳州路店 特惠房！近地铁可短租 开间,包河-常青-高铁都市花园东苑,118.47,3,1430,1450
整租·乐富强悦湖熙岸 4室2厅 南,高新-长宁-乐富强悦湖熙岸,147.00,4,3000,3000
独栋·泊寓 立基公馆店 实惠精致户（独立厨房 开间,,34.29-40.71,1,1819,1879
整租·朗香书院 3室2厅 南,新站-磨店-朗香书院,83.58,3,1800,1800
独栋·合肥左邻右舍公寓 华府骏苑店 大唐国际精美单间 开间,新站-磨店-朗香书院,83.58,3,1300,1300
整租·香格里拉花园 3室1厅 南,瑶海-方庙-香格里拉花园,118.44,3,2200,2200
整租·荣城北苑 2室2厅 南,庐阳-林店-荣城北苑,90.00,2,1500,1500
整租·凤阳五村 3室2厅 南/北,瑶海-三里街-凤阳五村,110.41,3,2200,2200
独栋·龙湖冠寓 合肥瑶海天街店 地铁口精选阳光复式 开间,,31.00,1,1219,1555
整租·广利花园北区 3室1厅 南,蜀山-西园-广利花园北区,100.00,3,3100,3100
