title,name,area,rooms,price_lower,price_upper,price_average,price_square_lower,price_square_upper,price_square_average
整租·首开熙悦山澜庭 3室1厅 东南/北,房山-长阳-首开熙悦山澜庭,98.0,3,5500,5500,5500.0,56.12244897959184,56.12244897959184,56.12244897959184
整租·翠成馨园C区 2室1厅 南/北,朝阳-垡头-翠成馨园C区,86.28,2,6300,6300,6300.0,73.01808066759388,73.01808066759388,73.01808066759388
整租·永顺南街164号院 3室1厅 南/北,通州-万达-永顺南街164号院,60.0,3,3800,3800,3800.0,63.333333333333336,63.333333333333336,63.333333333333336
整租·万和斐丽 3室1厅 东/西,大兴-瀛海-万和斐丽,90.0,3,5600,5600,5600.0,62.22222222222222,62.22222222222222,62.22222222222222
整租·中和家园 4室2厅 东/西,朝阳-南沙滩-中和家园,133.6,4,10000,10000,10000.0,74.8502994011976,74.8502994011976,74.8502994011976
整租·集贤雅苑北区 2室2厅 南/北,大兴-旧宫-集贤雅苑北区,89.0,2,5000,5000,5000.0,56.17977528089887,56.17977528089887,56.17977528089887
整租·广和南里二条 1室1厅 南/北,朝阳-劲松-广和南里二条,45.0,1,5200,5200,5200.0,115.55555555555556,115.55555555555556,115.55555555555556
整租·西直门内大街 1室1厅 南,西城-官园-西直门内大街,47.0,1,7000,7000,7000.0,148.93617021276594,148.93617021276594,148.93617021276594
整租·华威西里 2室1厅 西南,朝阳-潘家园-华威西里,66.68,2,6800,6800,6800.0,101.97960407918416,101.97960407918416,101.97960407918416
整租·顺八条1号院 3室1厅 南/北,丰台-宋家庄-顺八条1号院,120.0,3,8000,8000,8000.0,66.66666666666667,66.66666666666667,66.66666666666667
整租·光彩家园 1室1厅 南,丰台-赵公口-光彩家园,59.99,1,5300,5300,5300.0,88.34805800966828,88.34805800966828,88.34805800966828
整租·三山新新家园 2室1厅 南/北,顺义-后沙峪-三山新新家园,75.0,2,4400,4400,4400.0,58.666666666666664,58.666666666666664,58.666666666666664
整租·芍药居北里 1室1厅 东/西/北,朝阳-芍药居-芍药居北里,71.19,1,6800,6800,6800.0,95.51903357213092,95.51903357213092,95.51903357213092
整租·嘉铭桐城D区 1室1厅 南,朝阳-亚运村小营-嘉铭桐城D区,63.14,1,8700,8700,8700.0,137.7890402280646,137.7890402280646,137.7890402280646
整租·景泰西里西区 2室1厅 南/北,东城-永定门-景泰西里西区,87.62,2,8500,8500,8500.0,97.00981511070532,97.00981511070532,97.00981511070532
整租·南华小区 1室1厅 东南,丰台-马家堡-南华小区,57.76,1,4600,4600,4600.0,79.63988919667591,79.63988919667591,79.63988919667591
整租·翠成馨园B区 2室2厅 南,朝阳-垡头-翠成馨园B区,92.0,2,6700,6700,6700.0,72.82608695652173,72.82608695652173,72.82608695652173
整租·沸城 3室1厅 南/西,丰台-卢沟桥-沸城,111.0,3,5200,5200,5200.0,46.846846846846844,46.846846846846844,46.846846846846844
整租·北京金科天籁城 2室1厅 南/北,大兴-天宫院-北京金科天籁城,89.84,2,4800,4800,4800.0,53.42831700801425,53.42831700801425,53.42831700801425
整租·gogo新世代 1室0厅 西,丰台-方庄-gogo新世代,46.39,1,5600,5600,5600.0,120.71567148092261,120.71567148092261,120.71567148092261
整租·周庄子家园 2室1厅 南/北,丰台-七里庄-周庄子家园,90.0,2,7200,7200,7200.0,80.0,80.0,80.0
整租·那尔水晶城 1室1厅 南,大兴-枣园-那尔水晶城,63.96,1,4100,4100,4100.0,64.1025641025641,64.1025641025641,64.1025641025641
整租·北花园小区1号院 1室0厅 南,朝阳-双桥-北花园小区1号院,51.16,1,4300,4300,4300.0,84.05003909304145,84.05003909304145,84.05003909304145
整租·后永康北巷 1室1厅 南,东城-东直门-后永康北巷,20.0,1,4200,4200,4200.0,210.0,210.0,210.0
整租·中国铁建国际公馆 2室1厅 东/西,大兴-亦庄开发区其它-中国铁建国际公馆,83.0,2,5200,5200,5200.0,62.65060240963855,62.65060240963855,62.65060240963855
整租·百荣嘉园 1室1厅 南,东城-永定门-百荣嘉园,43.08,1,5000,5000,5000.0,116.06313834726092,116.06313834726092,116.06313834726092
整租·常楹公元自由派 1房间 西/北,朝阳-常营-常楹公元自由派,37.0,1,4300,4300,4300.0,116.21621621621621,116.21621621621621,116.21621621621621
整租·金隅自由筑 3房间 东,通州-临河里-金隅自由筑,100.0,3,4500,4500,4500.0,45.0,45.0,45.0
整租·上线6号 1房间 东,朝阳-常营-上线6号,55.0,1,3980,3980,3980.0,72.36363636363636,72.36363636363636,72.36363636363636
