title,name,area,rooms,price_lower,price_upper,price_average,price_square_lower,price_square_upper,price_square_average
整租·五金五厂宿舍 2室2厅 南,庐阳-杏林-五金五厂宿舍,67.75,2,1600,1600,1600.0,23.616236162361623,23.616236162361623,23.616236162361623
合租·珠光花园 4居室 南卧,庐阳-杏林-五金五厂宿舍,67.75,2,780,780,780.0,11.512915129151292,11.512915129151292,11.512915129151292
整租·恒大水晶国际广场 1室1厅 南,包河-常青-恒大水晶国际广场,46.99,1,2450,2450,2450.0,52.138752926154496,52.138752926154496,52.138752926154496
合租·海雨家园 4居室 北卧,包河-常青-恒大水晶国际广场,46.99,1,850,850,850.0,18.08895509682911,18.08895509682911,18.08895509682911
整租·绿地香树花城 4室2厅 南,新站-七里塘-绿地香树花城,140.33,4,2800,2800,2800.0,19.95296800399059,19.95296800399059,19.95296800399059
独栋·忆初公寓 品恩科技园店 408 1室1厅,新站-七里塘-绿地香树花城,140.33,4,2100,2100,2100.0,14.964726002992943,14.964726002992943,14.964726002992943
整租·高铁都市花园东苑 3室2厅 南,包河-常青-高铁都市花园东苑,118.00,3,2600,2600,2600.0,22.033898305084747,22.033898305084747,22.033898305084747
独栋·丽居公寓 红枫路店 朝南温馨朝北简约小屋 开间,包河-常青-高铁都市花园东苑,118.00,3,1300,1300,1300.0,11.016949152542374,11.016949152542374,11.016949152542374
整租·高铁都市花园东苑 3室2厅 南,包河-常青-高铁都市花园东苑,118.47,3,2600,2600,2600.0,21.946484342027517,21.946484342027517,21.946484342027517
独栋·龙湖冠寓 合肥亳州路店 特惠房！近地铁可短租 开间,包河-常青-高铁都市花园东苑,118.47,3,1430,1450,1440.0,12.070566388115134,12.239385498438423,12.154975943276778
整租·乐富强悦湖熙岸 4室2厅 南,高新-长宁-乐富强悦湖熙岸,147.00,4,3000,3000,3000.0,20.408163265306122,20.408163265306122,20.408163265306122
独栋·泊寓 立基公馆店 实惠精致户（独立厨房 开间,nan,34.29-40.71,1,1819,1879,1849.0,48.50666666666667,50.10666666666667,49.30666666666667
整租·朗香书院 3室2厅 南,新站-磨店-朗香书院,83.58,3,1800,1800,1800.0,21.53625269203159,21.53625269203159,21.53625269203159
独栋·合肥左邻右舍公寓 华府骏苑店 大唐国际精美单间 开间,新站-磨店-朗香书院,83.58,3,1300,1300,1300.0,15.55396027757837,15.55396027757837,15.55396027757837
整租·香格里拉花园 3室1厅 南,瑶海-方庙-香格里拉花园,118.44,3,2200,2200,2200.0,18.574805808848364,18.574805808848364,18.574805808848364
整租·荣城北苑 2室2厅 南,庐阳-林店-荣城北苑,90.00,2,1500,1500,1500.0,16.666666666666668,16.666666666666668,16.666666666666668
整租·凤阳五村 3室2厅 南/北,瑶海-三里街-凤阳五村,110.41,3,2200,2200,2200.0,19.9257313649126,19.9257313649126,19.9257313649126
独栋·龙湖冠寓 合肥瑶海天街店 地铁口精选阳光复式 开间,nan,31.00,1,1219,1555,1387.0,39.32258064516129,50.16129032258065,44.74193548387097
整租·广利花园北区 3室1厅 南,蜀山-西园-广利花园北区,100.00,3,3100,3100,3100.0,31.0,31.0,31.0
整租·舒城路13号 2室1厅 南,庐阳-逍遥津-舒城路13号,62.42,2,2300,2300,2300.0,36.847164370394104,36.847164370394104,36.847164370394104
整租·蓝鼎星河府 3室1厅 东南,包河-周谷堆-蓝鼎星河府,106.00,3,2700,2700,2700.0,25.471698113207548,25.471698113207548,25.471698113207548
独栋·朗诗寓 合肥大学城店 学生首选月付无中介 1室1厅,包河-周谷堆-蓝鼎星河府,106.00,3,1320,1320,1320.0,12.452830188679245,12.452830188679245,12.452830188679245
整租·禹洲中央广场D区 3室2厅 南/北,肥东-肥东-禹洲中央广场D区,89.00,3,1500,1500,1500.0,16.853932584269664,16.853932584269664,16.853932584269664
独栋·合肥壹间公寓 城市主场店 精选阳光单间 1室1厅,nan,48.09,1,1635,1635,1635.0,33.99875233936369,33.99875233936369,33.99875233936369
整租·龙湖瑶海天街 2室1厅 复式 南,瑶海-龙岗-龙湖瑶海天街,35.00,2,1500,1500,1500.0,42.857142857142854,42.857142857142854,42.857142857142854
独栋·合肥壹间公寓 城市主场店 精选温馨一居 1室1厅,nan,48.09,1,1572,1572,1572.0,32.68870867124142,32.68870867124142,32.68870867124142
整租·祥源花世界 3室1厅 南,肥西-肥西-祥源花世界,93.51,3,1600,1600,1600.0,17.11046946850604,17.11046946850604,17.11046946850604
独栋·CCB建融家园 塘西河公园店 特价秒杀双床房 开间,肥西-肥西-祥源花世界,93.51,3,1599,1599,1599.0,17.099775425088225,17.099775425088225,17.099775425088225
整租·祥源花世界 3室2厅 南,肥西-肥西-祥源花世界,130.00,3,1500,1500,1500.0,11.538461538461538,11.538461538461538,11.538461538461538
独栋·智谷公寓 水安店 安建大 三联附近一居 1室1厅,肥西-肥西-祥源花世界,130.00,3,1300,1400,1350.0,10.0,10.76923076923077,10.384615384615385
整租·登云庭 2室1厅 南,蜀山-琥珀-登云庭,65.00,2,1900,1900,1900.0,29.23076923076923,29.23076923076923,29.23076923076923
独栋·龙湖冠寓 合肥黄山路店 温馨静谧一居低价来袭 开间,蜀山-琥珀-登云庭,65.00,2,1186,1186,1186.0,18.246153846153845,18.246153846153845,18.246153846153845
整租·祥源花世界 3室2厅 南,肥西-肥西-祥源花世界,133.96,3,1800,1800,1800.0,13.436846819946252,13.436846819946252,13.436846819946252
合租·金地国际城 3居室 南卧,肥西-肥西-祥源花世界,133.96,3,720,720,720.0,5.3747387279785,5.3747387279785,5.3747387279785
合租·水安盛世桃源 4居室 南卧,肥西-肥西-祥源花世界,93.51,3,820,820,820.0,8.769115602609347,8.769115602609347,8.769115602609347
独栋·微佰青年公寓 彩虹家园店 户型B 1室1厅,肥西-肥西-祥源花世界,130.00,3,1300,1450,1375.0,10.0,11.153846153846153,10.576923076923077
整租·高速时代首府 3室2厅 南,包河-工业园-高速时代首府,98.32,3,2500,2500,2500.0,25.427176566314078,25.427176566314078,25.427176566314078
独栋·龙湖冠寓 合肥创富工坊店 全景阳光大开间 开间,包河-工业园-高速时代首府,98.32,3,1068,1068,1068.0,10.862489829129375,10.862489829129375,10.862489829129375
整租·炉桥路92号 3室1厅 南,庐阳-双岗-炉桥路92号,70.39,3,1600,1600,1600.0,22.73050149168916,22.73050149168916,22.73050149168916
独栋·龙湖冠寓 合肥大东门店 温馨单间 特惠来袭 开间,庐阳-双岗-炉桥路92号,70.39,3,1300,1350,1325.0,18.46853246199744,19.17886063361273,18.823696547805085
整租·恒大城 3室2厅 南,瑶海-龙岗-恒大城,120.32,3,2100,2100,2100.0,17.45345744680851,17.45345744680851,17.45345744680851
独栋·龙湖冠寓 黄河路地铁站店 悦方商圈！精致公寓 开间,瑶海-龙岗-恒大城,120.32,3,956,956,956.0,7.945478723404256,7.945478723404256,7.945478723404256
整租·上园 3室2厅 南,肥西-肥西-上园,107.41,3,1400,1400,1400.0,13.034168140769017,13.034168140769017,13.034168140769017
整租·万振逍遥苑四期 3室2厅 南,包河-周谷堆-万振逍遥苑四期,127.07,3,3300,3300,3300.0,25.969937829542772,25.969937829542772,25.969937829542772
整租·龙湖龙誉城 3室2厅 南,肥东-肥东-龙湖龙誉城,94.00,3,1600,1600,1600.0,17.02127659574468,17.02127659574468,17.02127659574468
独栋·蕙家公寓 锦绣大地城店 C 1室1厅,肥东-肥东-龙湖龙誉城,94.00,3,1200,1200,1200.0,12.76595744680851,12.76595744680851,12.76595744680851
整租·灯塔家园二期 3室2厅 南,肥西-肥西-灯塔家园二期,122.00,3,1600,1600,1600.0,13.114754098360656,13.114754098360656,13.114754098360656
整租·天长新村 2室1厅 南,瑶海-三里街-天长新村,76.30,2,1200,1200,1200.0,15.727391874180865,15.727391874180865,15.727391874180865
整租·奥林花园 3室2厅 南/北,蜀山-琥珀-奥林花园,117.01,3,2800,2800,2800.0,23.92957866848987,23.92957866848987,23.92957866848987
合租·祥源金港湾 4居室 南卧,蜀山-琥珀-奥林花园,117.01,3,870,870,870.0,7.435261943423638,7.435261943423638,7.435261943423638
