title,name,area,rooms,price_lower,price_upper,price_average,price_square_lower,price_square_upper,price_square_average
整租·智联花园 3室1厅 南,番禺-莲花山-智联花园,85,3,2500,2500,2500.0,29.41176470588235,29.41176470588235,29.41176470588235
独栋·魔方公寓 佛山万达店 特价大单间近千灯湖 1室1厅,番禺-莲花山-智联花园,85,3,1450,1450,1450.0,17.058823529411764,17.058823529411764,17.058823529411764
整租·碧桂园凤凰城凤馨苑 2室2厅 南,增城-凤凰城-碧桂园凤凰城凤馨苑,94,2,2100,2100,2100.0,22.340425531914892,22.340425531914892,22.340425531914892
独栋·逸居公寓 小区AB 免押金-民水电-过年免租活动智能单间-1-207 开间,增城-凤凰城-碧桂园凤凰城凤馨苑,94,2,888,888,888.0,9.446808510638299,9.446808510638299,9.446808510638299
整租·金泽豪庭 3室2厅 南,增城-白江-金泽豪庭,89.34,3,2000,2000,2000.0,22.386389075442132,22.386389075442132,22.386389075442132
独栋·蓝堡公寓 永康二店 全新现代采光大单间 开间,增城-白江-金泽豪庭,89.34,3,1400,1400,1400.0,15.670472352809492,15.670472352809492,15.670472352809492
整租·环市东路 2室1厅 南,越秀-环市东-环市东路,58.13,2,4500,4500,4500.0,77.41269568209187,77.41269568209187,77.41269568209187
独栋·迹寓 黄花岗A店 非中介 押一 民水民电 近地铁 免管理费 开间,nan,39,1,2822,4170,3496.0,72.35897435897436,106.92307692307692,89.64102564102564
整租·合生颐景华苑 1室1厅 南,海珠-东晓南-合生颐景华苑,45,1,4000,4000,4000.0,88.88888888888889,88.88888888888889,88.88888888888889
独栋·家公寓 天河万科广场店 温馨阳光大单间 开间,海珠-东晓南-合生颐景华苑,45,1,1280,1280,1280.0,28.444444444444443,28.444444444444443,28.444444444444443
整租·合生湖山国际 3室2厅 南,增城-凤凰城-合生湖山国际,121,3,3000,3000,3000.0,24.793388429752067,24.793388429752067,24.793388429752067
独栋·欧尚雅居 车陂吉兴里店 独栋·歐尚雅舍 近地铁复式单间L101 开间,增城-凤凰城-合生湖山国际,121,3,1380,1380,1380.0,11.40495867768595,11.40495867768595,11.40495867768595
整租·时代长岛 3室2厅 南,南沙-进港大道-时代长岛,83,3,2500,2500,2500.0,30.120481927710845,30.120481927710845,30.120481927710845
独栋·塞纳河公寓 板桥店 ins一居室 1室1厅,南沙-进港大道-时代长岛,83,3,1798,1998,1898.0,21.662650602409638,24.072289156626507,22.867469879518072
整租·万科桃源里 3室2厅 东南,增城-派潭镇-万科桃源里,89,3,1800,1800,1800.0,20.224719101123597,20.224719101123597,20.224719101123597
整租·金碧花园第一金碧 3室1厅 南,海珠-金碧-金碧花园第一金碧,108,3,5500,5500,5500.0,50.925925925925924,50.925925925925924,50.925925925925924
整租·金马香颂居 3室2厅 北,增城-荔城西区-金马香颂居,110,3,1700,1700,1700.0,15.454545454545455,15.454545454545455,15.454545454545455
独栋·科晟国际社区 至泰广场店 至泰北欧阳台房 1室1厅,增城-荔城西区-金马香颂居,110,3,2350,2350,2350.0,21.363636363636363,21.363636363636363,21.363636363636363
整租·南沙湾御苑 4室2厅 东南/南,南沙-南沙港-南沙湾御苑,141,4,3000,3000,3000.0,21.27659574468085,21.27659574468085,21.27659574468085
整租·碧桂园海湾1号 3室2厅 南,南沙-南沙港-碧桂园海湾1号,98,3,2000,2000,2000.0,20.408163265306122,20.408163265306122,20.408163265306122
整租·大北路 5室1厅 东南,番禺-市桥-大北路,80,5,2700,2700,2700.0,33.75,33.75,33.75
独栋·本地房东 1号线陈家祠地铁7分钟 电梯阳台大家爱 开间,番禺-市桥-大北路,80,5,2000,2000,2000.0,25.0,25.0,25.0
整租·时代长岛 3室2厅 南,南沙-进港大道-时代长岛,83,3,2000,2000,2000.0,24.096385542168676,24.096385542168676,24.096385542168676
独栋·WO家公寓 燕塘店 温馨阳光单间A603 开间,南沙-进港大道-时代长岛,83,3,1380,1380,1380.0,16.626506024096386,16.626506024096386,16.626506024096386
整租·骏辉雅苑 3室2厅 北,花都-花城街-骏辉雅苑,132.01,3,2500,2500,2500.0,18.937959245511706,18.937959245511706,18.937959245511706
独栋·竹馨尚品公寓 东圃店 A栋1号单间 开间,花都-花城街-骏辉雅苑,132.01,3,1800,1800,1800.0,13.635330656768428,13.635330656768428,13.635330656768428
整租·绿地国际空港中心 2室2厅 南,花都-镜湖大道-绿地国际空港中心,58,2,3300,3300,3300.0,56.89655172413793,56.89655172413793,56.89655172413793
独栋·龙湖冠寓 广州科学城店 企业租房特惠房 开间,花都-镜湖大道-绿地国际空港中心,58,2,2188,2188,2188.0,37.724137931034484,37.724137931034484,37.724137931034484
整租·芳村花园 3室2厅 东南,荔湾-坑口-芳村花园,109,3,4500,4500,4500.0,41.28440366972477,41.28440366972477,41.28440366972477
独栋·龙湖冠寓 广州猎德大桥店 腾讯、字节员工折上折 开间,荔湾-坑口-芳村花园,109,3,2600,2600,2600.0,23.853211009174313,23.853211009174313,23.853211009174313
独栋·龙湖冠寓 广州猎德大桥店 腾讯、字节员工折上折 开间,南沙-进港大道-时代长岛,83,3,2600,2600,2600.0,31.325301204819276,31.325301204819276,31.325301204819276
独栋·华仔国际公寓 黄花岗小区旗舰店 0中介费I押一I民水电I房东直租I直望广州塔超大全景大套间 1室1厅,花都-花城街-骏辉雅苑,132.01,3,3300,3600,3450.0,24.99810620407545,27.270661313536856,26.134383758806152
独栋·建方寓 陈家祠店 可短租 阳台房 品牌公寓 押一付一 家私家电齐全 拎包入住 1室1厅,花都-镜湖大道-绿地国际空港中心,58,2,2200,2200,2200.0,37.93103448275862,37.93103448275862,37.93103448275862
独栋·泊寓 万汇楼 金沙洲单间租房押一可短租1-3个月 明火做饭 永旺万达商圈 1室1厅,荔湾-坑口-芳村花园,109,3,950,950,950.0,8.715596330275229,8.715596330275229,8.715596330275229
整租·广州时代云图 4室2厅 南,南沙-金洲-广州时代云图,112,4,3200,3200,3200.0,28.571428571428573,28.571428571428573,28.571428571428573
独栋·回归青年部落 金沙洲店 家电齐全 大单间 开间,南沙-金洲-广州时代云图,112,4,950,950,950.0,8.482142857142858,8.482142857142858,8.482142857142858
整租·新景花苑 2室1厅 北,白云-黄石-新景花苑,73,2,2900,2900,2900.0,39.726027397260275,39.726027397260275,39.726027397260275
独栋·华润置地·有巢公寓 有巢国际公寓社区 白领专享都市大单房 开间,nan,31.00-36.00,1,2178,2469,2323.5,65.01492537313433,73.70149253731343,69.35820895522389
独栋·美宿家 T5新居 电梯房 落地窗 采光好，近潭村地铁站 开间,海珠-金碧-金碧花园第一金碧,108,3,2000,2000,2000.0,18.51851851851852,18.51851851851852,18.51851851851852
整租·星海国际 1室0厅 南,番禺-市桥-星海国际,40,1,1550,1550,1550.0,38.75,38.75,38.75
整租·华发荔湾荟 3室1厅 南,荔湾-滘口-华发荔湾荟,95,3,5000,5000,5000.0,52.63157894736842,52.63157894736842,52.63157894736842
独栋·C家公寓 C家公寓工业一店 首月减免800元 特价沙园 宝岗 工业大道/近地铁loft 1室1厅,南沙-南沙港-南沙湾御苑,141,4,1999,1999,1999.0,14.177304964539006,14.177304964539006,14.177304964539006
整租·飞鹅西路 2室1厅 南,白云-桂花岗-飞鹅西路,70,2,2800,2800,2800.0,40.0,40.0,40.0
整租·供水局宿舍 2室2厅 东南,天河-棠下-供水局宿舍,72,2,3650,3650,3650.0,50.69444444444444,50.69444444444444,50.69444444444444
整租·时代春树里 3室2厅 南/北,黄埔-香雪-时代春树里,93,3,4300,4300,4300.0,46.236559139784944,46.236559139784944,46.236559139784944
独栋·建方寓 暹岗分店 科学城绝版 山景阳台公寓 电费仅0.68 靓仔靓女多 开间,黄埔-香雪-时代春树里,93,3,2100,2200,2150.0,22.580645161290324,23.655913978494624,23.118279569892472
整租·中山三路 2室1厅 南,越秀-东川路-中山三路,45,2,3000,3000,3000.0,66.66666666666667,66.66666666666667,66.66666666666667
独栋·龙湖冠寓 广州弘大创意园店 企业员工特惠阳光单间 开间,越秀-东川路-中山三路,45,2,2315,2315,2315.0,51.44444444444444,51.44444444444444,51.44444444444444
整租·绿地越秀海玥 3室0厅 西南,海珠-工业大道中-绿地越秀海玥,52,3,2900,2900,2900.0,55.76923076923077,55.76923076923077,55.76923076923077
独栋·忠泰大院 忠泰大院东圃店 可短租 日系温馨大空间一室一厅  东圃地铁口步行仅200米 1室1厅,海珠-工业大道中-绿地越秀海玥,52,3,2750,3250,3000.0,52.88461538461539,62.5,57.69230769230769
整租·俊怡御景花园 3室2厅 南,花都-花城街-俊怡御景花园,120.79,3,2800,2800,2800.0,23.18072688136435,23.18072688136435,23.18072688136435
独栋·北欧公寓 三元里店 不短租近民用电押1阳光大单间 1室1厅,花都-花城街-俊怡御景花园,120.79,3,1280,1280,1280.0,10.596903717195131,10.596903717195131,10.596903717195131
整租·IPC港航中心 3室2厅 南,黄埔-鱼珠-IPC港航中心,110,3,11000,11000,11000.0,100.0,100.0,100.0
独栋·唯家公寓· 南村员岗3店 小单间 开间,黄埔-鱼珠-IPC港航中心,110,3,1150,1150,1150.0,10.454545454545455,10.454545454545455,10.454545454545455
独栋·佳和公馆 新塘店 1房1厅阳台景观高端网红房 1室1厅,白云-桂花岗-飞鹅西路,70,2,1380,1380,1380.0,19.714285714285715,19.714285714285715,19.714285714285715
整租·保利悦公馆 3室2厅 南,番禺-金山谷-保利悦公馆,97,3,5500,5500,5500.0,56.70103092783505,56.70103092783505,56.70103092783505
独栋·红林物业 坦尾店 五号线直达滘口地铁 开间,番禺-金山谷-保利悦公馆,97,3,1980,1980,1980.0,20.412371134020617,20.412371134020617,20.412371134020617
整租·时代天韵 4室1厅 南,黄埔-知识城-时代天韵,131,4,3900,3900,3900.0,29.770992366412212,29.770992366412212,29.770992366412212
独栋·稼南雅筑 江夏地铁口 押一付一 阳光 飘窗 带厨房 带电梯 大单间 开间,黄埔-知识城-时代天韵,131,4,950,950,950.0,7.251908396946565,7.251908396946565,7.251908396946565
整租·中海联睿品 3室2厅 南,增城-新塘北-中海联睿品,73,3,2300,2300,2300.0,31.506849315068493,31.506849315068493,31.506849315068493
独栋·魔方公寓 广州人和地铁站店 民用水电近地铁一房 1室1厅,增城-新塘北-中海联睿品,73,3,1260,1507,1383.5,17.26027397260274,20.643835616438356,18.95205479452055
整租·海丝知识中心 2室1厅 南,黄埔-知识城-海丝知识中心,58,2,2600,2600,2600.0,44.827586206896555,44.827586206896555,44.827586206896555
