title,name,area,rooms,price_lower,price_upper,price_average,price_square_lower,price_square_upper,price_square_average
整租·益田村 4室2厅 北,福田区-石厦-益田村,98.00,4,8500,8500,8500.0,86.73469387755102,86.73469387755102,86.73469387755102
合租·桦润馨居B区 5居室 东卧,福田区-石厦-益田村,98.00,4,1730,1730,1730.0,17.653061224489797,17.653061224489797,17.653061224489797
整租·书香门第上河坊 1室1厅 西南,龙华区-梅林关-书香门第上河坊,42.47,1,4450,4450,4450.0,104.77984459618554,104.77984459618554,104.77984459618554
整租·鸿荣源·尚峻 2室2厅 LOFT 南,龙华区-梅林关-书香门第上河坊,42.47,1,5399,5399,5399.0,127.12502943254061,127.12502943254061,127.12502943254061
整租·观峰阁 3室2厅 南,南山区-前海-观峰阁,89.00,3,7500,7500,7500.0,84.26966292134831,84.26966292134831,84.26966292134831
合租·星河银湖谷 5居室 北卧,南山区-前海-观峰阁,89.00,3,1890,1890,1890.0,21.235955056179776,21.235955056179776,21.235955056179776
整租·彩天名苑 1室0厅 东,福田区-福田中心-彩天名苑,33.00,1,3900,3900,3900.0,118.18181818181819,118.18181818181819,118.18181818181819
合租·世界花园香山居 4居室 南卧,福田区-福田中心-彩天名苑,33.00,1,2130,2130,2130.0,64.54545454545455,64.54545454545455,64.54545454545455
整租·志健时代广场 1室1厅 北,龙岗区-横岗-志健时代广场,38.00,1,2800,2800,2800.0,73.6842105263158,73.6842105263158,73.6842105263158
合租·中航天逸 5居室 东卧,龙岗区-横岗-志健时代广场,38.00,1,2230,2230,2230.0,58.68421052631579,58.68421052631579,58.68421052631579
合租·前海花园 4居室 南卧,南山区-前海-前海花园,12.00,4,2000,2000,2000.0,166.66666666666666,166.66666666666666,166.66666666666666
合租·前海丹华 5居室 东卧,南山区-前海-前海花园,12.00,4,1490,1490,1490.0,124.16666666666667,124.16666666666667,124.16666666666667
整租·岗厦城 2室1厅 东,福田区-福田中心-岗厦城,56.00,2,7500,7500,7500.0,133.92857142857142,133.92857142857142,133.92857142857142
合租·花园城三期 4居室 东卧,福田区-福田中心-岗厦城,56.00,2,2230,2230,2230.0,39.82142857142857,39.82142857142857,39.82142857142857
整租·一城峰景 1室1厅 东北,龙岗区-龙岗双龙-一城峰景,48.00,1,2200,2200,2200.0,45.833333333333336,45.833333333333336,45.833333333333336
