[2, 1627] ['整租·时代领峯 3室2厅 南/北', '包河-淝河镇-时代领峯', '96.26', '3', 2700, 2700]
[2, 2569] ['整租·时代领峯 3室2厅 南/北', '包河-淝河镇-时代领峯', '96.26', '3', 2700, 2700]
[10, 987] ['整租·珠光南苑 3室2厅 南', '包河-周谷堆-珠光南苑', '90.86', '3', 2000, 2000]
[10, 1553] ['整租·珠光南苑 3室2厅 南', '包河-周谷堆-珠光南苑', '90.86', '3', 2000, 2000]
[14, 2884] ['整租·供电西村 2室1厅 南', '包河-常青-供电西村', '61.02', '2', 2200, 2200]
[19, 2231] ['整租·淝河安百苑 2室1厅 北', '包河-淝河镇-淝河安百苑', '66.50', '2', 1500, 1500]
[19, 2641] ['整租·淝河安百苑 2室1厅 北', '包河-淝河镇-淝河安百苑', '66.50', '2', 1500, 1500]
[20, 2359] ['整租·高铁都市花园东苑 3室2厅 南', '包河-常青-高铁都市花园东苑', '118.47', '3', 2600, 2600]
[22, 1283] ['整租·中海央墅 4室2厅 南', '包河-常青-中海央墅', '122.05', '4', 4500, 4500]
[24, 3069] ['整租·川海花园 2室1厅 南', '包河-淝河镇-川海花园', '60.00', '2', 2000, 2000]
[24, 3140] ['整租·川海花园 2室1厅 南', '包河-淝河镇-川海花园', '60.00', '2', 2000, 2000]
[24, 3217] ['整租·川海花园 2室1厅 南', '包河-淝河镇-川海花园', '60.00', '2', 2000, 2000]
[24, 3228] ['整租·川海花园 2室1厅 南', '包河-淝河镇-川海花园', '60.00', '2', 2000, 2000]
[24, 3283] ['整租·川海花园 2室1厅 南', '包河-淝河镇-川海花园', '60.00', '2', 2000, 2000]
[28, 34] ['整租·信达天御林语苑 4室2厅 南', '包河-常青-信达天御林语苑', '128.38', '4', 3000, 3000]
[28, 1111] ['整租·信达天御林语苑 4室2厅 南', '包河-常青-信达天御林语苑', '128.38', '4', 3000, 3000]
[28, 1518] ['整租·信达天御林语苑 4室2厅 南', '包河-常青-信达天御林语苑', '128.38', '4', 3000, 3000]
[30, 2468] ['整租·绿地海顿公馆C 1室1厅 南', '包河-周谷堆-绿地海顿公馆C', '45.00', '1', 1700, 1700]
[35, 972] ['整租·万振逍遥苑四期 2室2厅 南', '包河-周谷堆-万振逍遥苑四期', '103.92', '2', 3000, 3000]
[35, 1534] ['整租·万振逍遥苑四期 2室2厅 南', '包河-周谷堆-万振逍遥苑四期', '103.92', '2', 3000, 3000]
[35, 2648] ['整租·万振逍遥苑四期 2室2厅 南', '包河-周谷堆-万振逍遥苑四期', '103.92', '2', 3000, 3000]
[37, 481] ['整租·珠光花苑 2室1厅 南', '包河-周谷堆-珠光花苑', '69.98', '2', 2400, 2400]
[44, 3051] ['整租·恒大水晶国际广场 4室2厅 南/北', '包河-常青-恒大水晶国际广场', '128.16', '4', 3500, 3500]
