['整租·信达金茂广场 0室1厅 南', '天河-沙太南-信达金茂广场', '46.00', '未', 3800, 3800]
['整租·美林湖畔花园 0室0厅 东', '天河-东圃-美林湖畔花园', '12.00', '未', 900, 900]
['整租·美林湖畔花园 0室0厅 东', '天河-东圃-美林湖畔花园', '12.00', '未', 900, 900]
['独栋·融寓 华工店 天然氧吧朝南中开间 开间', '天河-东圃-美林湖畔花园', '12.00', '未', 2274, 2455]
['整租·天銮 0室0厅 南', '天河-珠江新城中-天銮', '12.00', '未', 2000, 2000]
['整租·万科金色家园 0室0厅 南', '越秀-东风东-万科金色家园', '15.00', '未', 2300, 2300]
['整租·万科金色家园 0室0厅 南', '越秀-东风东-万科金色家园', '15.00', '未', 2300, 2300]
['整租·君铂国际 0室1厅 南', '越秀-环市东-君铂国际', '136.00', '未', 12000, 12000]
['整租·仓边路35号大院 0室1厅 东', '越秀-公园前-仓边路35号大院', '25.00', '未', 2600, 2600]
['整租·永安居 0室1厅 南', '荔湾-西村-永安居', '43.20', '未', 4320, 4320]
['整租·长寿西路 0室1厅 南', '荔湾-西关-长寿西路', '40.00', '未', 4800, 4800]
['整租·西关海 0室0厅 东', '荔湾-南岸路-西关海', '12.72', '未', 1200, 1200]
['整租·西关海 0室0厅 东', '荔湾-南岸路-西关海', '12.72', '未', 1200, 1200]
['整租·长寿西路 0室1厅 东', '荔湾-西关-长寿西路', '140.00', '未', 14000, 14000]
['整租·万科金域华府 0室1厅 东', '荔湾-龙津-万科金域华府', '11.00', '未', 1200, 1200]
['整租·逸合中心 0室1厅 南', '荔湾-鹤洞-逸合中心', '30.00', '未', 1900, 1900]
['整租·保利红棉花园 0室1厅 东/南/西/北', '海珠-江燕路-保利红棉花园', '650.00', '未', 35000, 35000]
['整租·光大花园水岸榕城 0室0厅 南', '海珠-工业大道北-光大花园水岸榕城', '12.00', '未', 1200, 1200]
['整租·保利红棉花园 0室1厅 东/南/西/北', '海珠-江燕路-保利红棉花园', '650.00', '未', 35000, 35000]
['整租·光大花园水岸榕城 0室0厅 西南', '海珠-工业大道北-光大花园水岸榕城', '12.00', '未', 1300, 1300]
['整租·邦泰公馆 0室1厅 南', '海珠-磨碟沙-邦泰公馆', '28.53', '未', 850, 850]
['整租·保利红棉花园 0室1厅 东/南/西/北', '海珠-江燕路-保利红棉花园', '650.00', '未', 35000, 35000]
['整租·光大花园水岸榕城 0室1厅 南', '海珠-工业大道北-光大花园水岸榕城', '12.00', '未', 1300, 1300]
['整租·敏捷华美国际 0室2厅 复式 南', '番禺-大石-敏捷华美国际', '58.00', '未', 3500, 3500]
['独栋·百合白领公寓 万民城店 五天内入住找我！ 特价两房 数量有限 可短租 2室1厅', '番禺-大石-敏捷华美国际', '58.00', '未', 1500, 1500]
['整租·奥园城市天地 0室1厅 北', '番禺-汉溪长隆-奥园城市天地', '42.00', '未', 2800, 2800]
['合租·亚运城运动员村二区 4居室 西北卧', '番禺-汉溪长隆-奥园城市天地', '42.00', '未', 1190, 1190]
['合租·南国奥林匹克花园 4居室 南卧', '番禺-汉溪长隆-奥园城市天地', '42.00', '未', 1360, 1360]
['整租·广州雅居乐花园剑桥郡 0室0厅 东', '番禺-雅居乐-广州雅居乐花园剑桥郡', '12.83', '未', 400, 400]
['独栋·万科世博汇 石四商务中心 南站，万科世博汇，石壁地铁口。 2室1厅', '番禺-雅居乐-广州雅居乐花园剑桥郡', '12.83', '未', 2600, 2600]
['整租·越秀可逸江畔 0室0厅 南', '番禺-桥南-越秀可逸江畔', '12.00', '未', 500, 500]
['整租·奥园城市天地 0室1厅 北', '番禺-汉溪长隆-奥园城市天地', '42.00', '未', 2800, 2800]
['整租·南站未来域 0室1厅 南', '番禺-钟村-南站未来域', '27.00', '未', 1100, 1100]
['整租·南站未来域 0室1厅 南', '番禺-钟村-南站未来域', '27.00', '未', 1100, 1100]
['整租·侨宫苑 0室0厅 南', '番禺-市桥-侨宫苑', '14.40', '未', 580, 580]
['整租·广州奥林匹克花园 0室0厅 东南', '番禺-洛溪-广州奥林匹克花园', '4000.00', '未', 240000, 240000]
['整租·越秀可逸江畔 0室0厅 南', '番禺-桥南-越秀可逸江畔', '22.00', '未', 600, 600]
['整租·广州雅居乐花园剑桥郡 0室4厅 南', '番禺-雅居乐-广州雅居乐花园剑桥郡', '156.00', '未', 7800, 7800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
