[6, 1372] ['整租·凤凰印象 1室1厅 西南', '罗湖区-螺岭-凤凰印象', '43.72', '1', 3900, 3900]
[6, 2319] ['整租·凤凰印象 1室1厅 西南', '罗湖区-螺岭-凤凰印象', '43.72', '1', 3900, 3900]
[6, 2667] ['整租·凤凰印象 1室1厅 西南', '罗湖区-螺岭-凤凰印象', '43.72', '1', 3900, 3900]
[14, 1054] ['整租·华丽花园 3室2厅 东南', '罗湖区-螺岭-华丽花园', '88.50', '3', 5000, 5000]
[19, 2641] ['整租·红群楼 2室1厅 南', '罗湖区-地王-红群楼', '72.00', '2', 4600, 4600]
[19, 2922] ['整租·红群楼 2室1厅 南', '罗湖区-地王-红群楼', '72.00', '2', 4600, 4600]
[24, 532] ['整租·深发花园 3室2厅 南', '罗湖区-黄贝岭-深发花园', '83.00', '3', 6200, 6200]
[26, 1448] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 2265] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 3017] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 3136] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 3495] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 3974] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 4093] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 4242] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 4271] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 4690] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 4809] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 4838] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 4927] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 5346] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 5405] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 5494] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 5763] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 5792] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 5851] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 5970] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[26, 5999] ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
[32, 1494] ['整租·靖轩豪苑 2室1厅 东', '罗湖区-黄贝岭-靖轩豪苑', '70.00', '2', 6900, 6900]
[35, 494] ['独栋·冠寓 深圳上水径二店 首月8折 押一付一 1室1厅', nan, '20.00-27.00', '1', 1699, 2199]
[38, 516] ['整租·世界金融中心 2室1厅 东/西', '罗湖区-万象城-世界金融中心', '51.00', '2', 6500, 6500]
[44, 583] ['整租·万科深南广场 1室1厅 南', '罗湖区-春风路-万科深南广场', '45.00', '1', 4500, 4500]
[50, 64] ['整租·东方凤雅台 3室2厅 南', '罗湖区-莲塘-东方凤雅台', '126.00', '3', 7000, 7000]
[50, 654] ['整租·东方凤雅台 3室2厅 南', '罗湖区-莲塘-东方凤雅台', '126.00', '3', 7000, 7000]
[52, 81] ['整租·深业东岭一期 1室0厅 东', '罗湖区-黄贝岭-深业东岭一期', '39.00', '1', 3600, 3600]
[54, 75] ['整租·海珑华苑 1室0厅 北', '罗湖区-螺岭-海珑华苑', '44.80', '1', 3000, 3000]
[54, 1218] ['整租·海珑华苑 1室0厅 北', '罗湖区-螺岭-海珑华苑', '44.80', '1', 3000, 3000]
[54, 2929] ['整租·海珑华苑 1室0厅 北', '罗湖区-螺岭-海珑华苑', '44.80', '1', 3000, 3000]
[56, 76] ['整租·TCL雅馨居 1室0厅 南', '罗湖区-地王-TCL雅馨居', '40.00', '1', 4380, 4380]
[56, 299] ['整租·TCL雅馨居 1室0厅 南', '罗湖区-地王-TCL雅馨居', '40.00', '1', 4380, 4380]
[56, 2933] ['整租·TCL雅馨居 1室0厅 南', '罗湖区-地王-TCL雅馨居', '40.00', '1', 4380, 4380]
[58, 82] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 316] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 604] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 2809] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 3126] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 3724] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 3843] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 4080] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 4139] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 4316] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 4435] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 4554] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 4583] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 4671] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 4907] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 4936] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 5055] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 5114] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 5233] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 5380] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 5498] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 5765] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[58, 6001] ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
[60, 85] ['整租·东门168 1室1厅 东南', '罗湖区-螺岭-东门168', '42.45', '1', 3200, 3200]
[67, 1308] ['整租·凤凰印象 1室1厅 南', '罗湖区-螺岭-凤凰印象', '45.00', '1', 4300, 4300]
[69, 1755] ['整租·荣华里 3室2厅 南', '罗湖区-地王-荣华里', '95.00', '3', 6000, 6000]
[71, 1771] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '101.55', '3', 6500, 6500]
[73, 1702] ['整租·旭飞华达园 2室1厅 西', '罗湖区-百仕达-旭飞华达园', '56.98', '2', 5500, 5500]
[80, 2719] ['整租·锦上花家园 3室2厅 南', '罗湖区-黄贝岭-锦上花家园', '85.12', '3', 6500, 6500]
[92, 342] ['整租·中贸大厦 3室2厅 西南', '罗湖区-笋岗-中贸大厦', '111.24', '3', 6000, 6000]
[92, 1561] ['整租·中贸大厦 3室2厅 西南', '罗湖区-笋岗-中贸大厦', '111.24', '3', 6000, 6000]
[94, 785] ['整租·宝翠苑 3室1厅 南', '罗湖区-布心-宝翠苑', '86.00', '3', 8000, 8000]
[96, 124] ['整租·缤纷时代家园 2室1厅 南', '罗湖区-螺岭-缤纷时代家园', '60.86', '2', 5200, 5200]
[96, 1622] ['整租·缤纷时代家园 2室1厅 南', '罗湖区-螺岭-缤纷时代家园', '60.86', '2', 5200, 5200]
