title,name,area,rooms,price_lower,price_upper
整租·海防村 1室0厅 南,静安-江宁路-海防村,32.53,1,4800,4800
整租·龙盛佳苑 1室1厅 南,静安-阳城-龙盛佳苑,47.00,1,5300,5300
整租·万荣小区 1室1厅 南,静安-阳城-万荣小区,44.00,1,5000,5000
整租·昌平路984弄 2室2厅 南/北,静安-曹家渡-昌平路984弄,81.99,2,10000,10000
整租·柳营路309弄 2室1厅 南/北,静安-闸北公园-柳营路309弄,50.00,2,5200,5200
整租·申田大楼 1室1厅 南,静安-静安寺-申田大楼,53.81,1,7000,7000
整租·临汾路1564弄 2室1厅 南/北,静安-彭浦-临汾路1564弄,55.47,2,4600,4600
整租·龙盛佳苑 1室1厅 南,静安-阳城-龙盛佳苑,46.02,1,5000,5000
整租·静安府西区 3室2厅 南,静安-大宁-静安府西区,93.98,3,16500,16500
整租·宝昌路620弄 1室1厅 南,静安-西藏北路-宝昌路620弄,36.50,1,4900,4900
整租·骏豪国际 1室1厅 南,静安-南京西路-骏豪国际,59.06,1,8800,8800
整租·中华新路893弄 2室0厅 南,静安-不夜城-中华新路893弄,39.23,2,5800,5800
整租·银都一村 1室0厅 南,静安-彭浦-银都一村,34.79,1,3000,3000
整租·龙盛佳苑 1室1厅 南,静安-阳城-龙盛佳苑,46.14,1,5000,5000
整租·中行小区 1室1厅 东,静安-曹家渡-中行小区,43.87,1,5500,5500
整租·康平小区 1室0厅 南,静安-彭浦-康平小区,35.35,1,3700,3700
整租·万航公寓 1室1厅 南,静安-曹家渡-万航公寓,45.23,1,6500,6500
整租·中华新路810号 2室1厅 南,静安-不夜城-中华新路810号,45.36,2,6500,6500
整租·姚西小区 2室1厅 南,静安-曹家渡-姚西小区,57.66,2,7000,7000
整租·瀚林世家 1室1厅 南,静安-曹家渡-瀚林世家,69.69,1,12500,12500
整租·紫祥小区 1室1厅 南,静安-不夜城-紫祥小区,32.95,1,4600,4600
整租·又一村(静安) 2室1厅 南/北,静安-江宁路-又一村(静安),41.00,2,7650,7650
整租·龙盛佳苑 2室1厅 南,静安-阳城-龙盛佳苑,60.15,2,6500,6500
整租·中凯城市之光(静安) 1室1厅 南,静安-南京西路-中凯城市之光(静安),62.78,1,12000,12000
整租·柳营路309弄 2室1厅 南,静安-闸北公园-柳营路309弄,59.89,2,5600,5600
整租·句容小区 1室1厅 南,静安-江宁路-句容小区,32.65,1,5400,5400
整租·康平小区 1室1厅 南,静安-彭浦-康平小区,47.49,1,4300,4300
整租·明园森林都市 3室2厅 南,静安-大宁-明园森林都市,147.90,3,15500,15500
整租·大宁新村 1室1厅 南,静安-大宁-大宁新村,30.69,1,5000,5000
整租·南山路71弄 1室1厅 南/北,静安-西藏北路-南山路71弄,50.39,1,5700,5700
整租·共康四村 1室1厅 南,静安-彭浦-共康四村,34.82,1,3800,3800
整租·静安风华苑 3室2厅 南,静安-曹家渡-静安风华苑,149.89,3,15500,15500
整租·宁和小区 1室1厅 南,静安-大宁-宁和小区,42.21,1,4600,4600
整租·又一村(静安) 1室1厅 南,静安-江宁路-又一村(静安),40.14,1,5500,5500
整租·三泉路424弄 1室1厅 南,静安-彭浦-三泉路424弄,38.21,1,3700,3700
整租·明园森林都市 2室2厅 南,静安-大宁-明园森林都市,92.23,2,9000,9000
整租·和源馨苑 2室1厅 南/西北,静安-西藏北路-和源馨苑,97.35,2,10000,10000
整租·龙盛佳苑 1室1厅 南,静安-阳城-龙盛佳苑,47.00,1,5100,5100
整租·永和教师苑 2室1厅 南/北,静安-永和-永和教师苑,65.18,2,5500,5500
整租·闻喜路1223弄 2室0厅 南,静安-彭浦-闻喜路1223弄,52.60,2,4600,4600
整租·北市场小区 1室1厅 南,静安-西藏北路-北市场小区,36.50,1,6000,6000
整租·中华新路630号 1室1厅 南,静安-不夜城-中华新路630号,43.30,1,5000,5000
整租·龙潭小区 1室1厅 南,静安-阳城-龙潭小区,41.01,1,4600,4600
整租·粤秀名邸 1室1厅 南,静安-大宁-粤秀名邸,59.65,1,5800,5800
整租·光华坊 1室1厅 南,静安-西藏北路-光华坊,37.12,1,4000,4000
整租·中行小区 1室0厅 南,静安-曹家渡-中行小区,27.16,1,4200,4200
整租·富民路22弄 1室1厅 南,静安-静安寺-富民路22弄,51.10,1,10000,10000
整租·五月花都荟豪庭 1室1厅 南,静安-不夜城-五月花都荟豪庭,48.82,1,7200,7200
整租·延平路482弄 1室1厅 北,静安-曹家渡-延平路482弄,27.00,1,4200,4200
整租·南长苑 1室1厅 南,静安-曹家渡-南长苑,35.65,1,5200,5200
整租·又一村(静安) 1室1厅 东南,静安-江宁路-又一村(静安),37.54,1,6000,6000
整租·黄山锦庭 3室1厅 南,静安-闸北公园-黄山锦庭,85.93,3,9300,9300
整租·骏豪国际 1室1厅 西,静安-南京西路-骏豪国际,51.43,1,6000,6000
整租·彭五小区 2室0厅 南/北,静安-彭浦-彭五小区,40.46,2,4500,4500
整租·龙盛佳苑 2室1厅 南,静安-阳城-龙盛佳苑,60.00,2,6700,6700
整租·临汾路1320弄 2室1厅 南/北,静安-彭浦-临汾路1320弄,60.91,2,4500,4500
整租·三和花园 1室1厅 南,静安-曹家渡-三和花园,75.77,1,11500,11500
整租·龙潭小区 2室0厅 南,静安-阳城-龙潭小区,41.01,2,4500,4500
