title,name,area,rooms,price_lower,price_upper
整租·察慈小区 1室1厅 南,东城-东直门-察慈小区,49.33,1,7000,7000
整租·豆瓣胡同 2室1厅 东/西,东城-朝阳门内-豆瓣胡同,71.49,2,10000,10000
整租·广渠家园 2室1厅 北,东城-广渠门-广渠家园,63.00,2,5200,5200
整租·新奥洋房 1室1厅 西,东城-永定门-新奥洋房,42.87,1,5200,5200
整租·青年湖东里 3室1厅 东/北,东城-安定门-青年湖东里,66.74,3,7500,7500
整租·工体3号 1室0厅 南,东城-工体-工体3号,35.94,1,5800,5800
整租·胡家园小区 1室1厅 南,东城-东直门-胡家园小区,42.66,1,6000,6000
整租·民安小区民安街 3室2厅 南/北,东城-东直门-民安小区民安街,120.00,3,13500,13500
整租·新永外文化用品商城 2室1厅 南,东城-永定门-新永外文化用品商城,75.00,2,8100,8100
整租·定安里 2室1厅 南,东城-永定门-定安里,53.99,2,5500,5500
整租·西青年沟 1室1厅 南,东城-安贞-西青年沟,42.16,1,6800,6800
整租·香河园北里 1室1厅 东,东城-东直门-香河园北里,43.00,1,5300,5300
整租·东革新里40号院 1室1厅 南,东城-永定门-东革新里40号院,45.00,1,5500,5500
整租·民安小区东扬威街 2室1厅 南/北,东城-东直门-民安小区东扬威街,74.23,2,9700,9700
整租·朝阳门南小街 2室1厅 南/北,东城-朝阳门内-朝阳门南小街,70.00,2,9500,9500
整租·新景家园东区 1室1厅 南,东城-崇文门-新景家园东区,61.00,1,7800,7800
整租·和平里三区 1室1厅 南/北,东城-和平里-和平里三区,45.00,1,5300,5300
整租·东四六条 3室0厅 东,东城-东四-东四六条,17.60,3,5000,5000
整租·东方银座 3室1厅 东/东北,东城-东直门-东方银座,138.64,3,20000,20000
整租·广渠家园 2室2厅 西,东城-广渠门-广渠家园,71.54,2,5500,5500
整租·大兴胡同 1室0厅 东,东城-交道口-大兴胡同,20.00,1,3500,3500
整租·东直门南大街 1室1厅 东,东城-东直门-东直门南大街,42.02,1,7400,7400
整租·革新里24号院 2室1厅 东,东城-永定门-革新里24号院,60.00,2,5300,5300
整租·西革新里124号 2室1厅 南,东城-永定门-西革新里124号,50.84,2,5500,5500
整租·和平里一区 2室1厅 南,东城-和平里-和平里一区,69.08,2,8500,8500
整租·左安漪园 3室2厅 东/北,东城-左安门-左安漪园,139.00,3,15500,15500
整租·华人一品大厦 1房间 北,东城-东四-华人一品大厦,28.00,1,6000,6000
整租·大方家胡同 2室0厅 东/西,东城-朝阳门内-大方家胡同,52.00,2,7500,7500
整租·左安浦园 3室1厅 西,东城-左安门-左安浦园,75.00,3,6500,6500
整租·前门前酒店公寓 1房间 东北,东城-天坛-前门前酒店公寓,50.11,1,5000,5000
整租·建国门北大街5号 1室1厅 南,东城-建国门内-建国门北大街5号,66.10,1,8200,8200
整租·景泰西里 3室1厅 南/西/北,东城-永定门-景泰西里,57.00,3,6600,6600
整租·体育馆路12号 1室1厅 南,东城-左安门-体育馆路12号,44.00,1,5600,5600
整租·兴隆都市馨园 1室1厅 南,东城-崇文门-兴隆都市馨园,52.00,1,6500,6500
整租·华人一品大厦 1房间 北,东城-东四-华人一品大厦,28.00,1,6000,6000
整租·大方家胡同 2室0厅 东/西,东城-朝阳门内-大方家胡同,52.00,2,7500,7500
整租·左安浦园 3室1厅 西,东城-左安门-左安浦园,75.00,3,6500,6500
整租·前门前酒店公寓 1房间 东北,东城-天坛-前门前酒店公寓,50.11,1,5000,5000
整租·察慈小区 2室1厅 南,东城-东直门-察慈小区,74.00,2,8500,8500
