title,name,area,rooms,price_lower,price_upper
整租·万振逍遥苑四期 1室1厅 北,包河-周谷堆-万振逍遥苑四期,47.00,1,1600,1600
独栋·金地公寓 金地店 小阳台落地窗 1室1厅,包河-周谷堆-万振逍遥苑四期,47.00,1,1600,1600
整租·时代领峯 3室2厅 南/北,包河-淝河镇-时代领峯,96.26,3,2700,2700
合租·珠光花园 4居室 南卧,包河-淝河镇-时代领峯,96.26,3,900,900
整租·幸福雅苑 2室1厅 南,包河-淝河镇-幸福雅苑,73.00,2,2000,2000
独栋·忆初公寓 中辰优唐店 g 1室1厅,包河-淝河镇-幸福雅苑,73.00,2,2000,2000
整租·绿地海顿公馆D 3室2厅 南,包河-周谷堆-绿地海顿公馆D,136.69,3,2600,2600
独栋·龙湖冠寓 合肥黄河路地铁站店 舒适温馨一居 开间,,19.00,1,1230,1562
整租·绿地中心公馆 3室2厅 南,包河-常青-绿地中心公馆,88.75,3,3100,3100
独栋·忆初公寓 中辰优唐店 307 1室1厅,包河-常青-绿地中心公馆,88.75,3,1600,1600
整租·珠光南苑 3室2厅 南,包河-周谷堆-珠光南苑,90.86,3,2000,2000
独栋·龙湖冠寓 黄河路地铁站店 春节特惠！地铁口 开间,包河-周谷堆-珠光南苑,90.86,3,1360,1360
整租·琥珀新天地西苑 3室2厅 南/北,包河-常青-琥珀新天地西苑,108.00,3,2700,2700
独栋·龙湖冠寓 黄河路地铁站店 悦方商圈！精致公寓 开间,包河-常青-琥珀新天地西苑,108.00,3,956,956
整租·供电西村 2室1厅 南,包河-常青-供电西村,61.02,2,2200,2200
整租·皖都徽韵和锦园 2室2厅 南,包河-工业园-皖都徽韵和锦园,83.16,2,2300,2300
整租·国贸天悦 3室2厅 南,包河-常青-国贸天悦,98.64,3,2800,2800
合租·珠光花园 4居室 南卧,包河-常青-国贸天悦,98.64,3,900,900
整租·金隅大成郡 3室2厅 南,包河-淝河镇-金隅大成郡,122.22,3,2700,2700
整租·淝河安百苑 2室1厅 北,包河-淝河镇-淝河安百苑,66.50,2,1500,1500
整租·高铁都市花园东苑 3室2厅 南,包河-常青-高铁都市花园东苑,118.47,3,2600,2600
独栋·金地公寓 金地店 C户型 开间,包河-常青-高铁都市花园东苑,118.47,3,1450,1500
整租·中海央墅 4室2厅 南,包河-常青-中海央墅,122.05,4,4500,4500
独栋·金地公寓 金地店 朝东安静户型 开间,包河-常青-中海央墅,122.05,4,1500,1500
整租·川海花园 2室1厅 南,包河-淝河镇-川海花园,60.00,2,2000,2000
独栋·龙湖冠寓 黄河路地铁站店 元旦大促！轻奢单间！ 开间,包河-淝河镇-川海花园,60.00,2,1170,1170
整租·BINGO缤购 1室1厅 北,包河-包公-BINGO缤购,45.90,1,1400,1400
合租·联邦花园 3居室 北卧,包河-包公-BINGO缤购,45.90,1,700,700
整租·信达天御林语苑 4室2厅 南,包河-常青-信达天御林语苑,128.38,4,3000,3000
独栋·龙湖冠寓 黄河路地铁站店 轻奢公寓！金融港整租 开间,,30.00,1,1288,1288
整租·绿地海顿公馆C 1室1厅 南,包河-周谷堆-绿地海顿公馆C,45.00,1,1700,1700
独栋·宸晖公寓 中佳产业园店 简约公寓 开间,,25.00-30.00,1,1299,1300
整租·幸福雅苑 2室1厅 南,包河-淝河镇-幸福雅苑,60.00,2,1900,1900
独栋·龙湖冠寓 黄河路地铁站店 滨湖首租！阳光精致房 开间,包河-淝河镇-幸福雅苑,60.00,2,1288,1288
