title,name,area,rooms,price_lower,price_upper,price_average,price_square_lower,price_square_upper,price_square_average
整租·海防村 1室0厅 南,静安-江宁路-海防村,32.53,1,4800,4800,4800.0,147.55610205963725,147.55610205963725,147.55610205963725
整租·龙盛佳苑 1室1厅 南,静安-阳城-龙盛佳苑,47.0,1,5300,5300,5300.0,112.76595744680851,112.76595744680851,112.76595744680851
整租·万荣小区 1室1厅 南,静安-阳城-万荣小区,44.0,1,5000,5000,5000.0,113.63636363636364,113.63636363636364,113.63636363636364
整租·昌平路984弄 2室2厅 南/北,静安-曹家渡-昌平路984弄,81.99,2,10000,10000,10000.0,121.96609342602757,121.96609342602757,121.96609342602757
整租·柳营路309弄 2室1厅 南/北,静安-闸北公园-柳营路309弄,50.0,2,5200,5200,5200.0,104.0,104.0,104.0
整租·申田大楼 1室1厅 南,静安-静安寺-申田大楼,53.81,1,7000,7000,7000.0,130.08734435978442,130.08734435978442,130.08734435978442
整租·临汾路1564弄 2室1厅 南/北,静安-彭浦-临汾路1564弄,55.47,2,4600,4600,4600.0,82.92770867135388,82.92770867135388,82.92770867135388
整租·龙盛佳苑 1室1厅 南,静安-阳城-龙盛佳苑,46.02,1,5000,5000,5000.0,108.64841373315949,108.64841373315949,108.64841373315949
整租·静安府西区 3室2厅 南,静安-大宁-静安府西区,93.98,3,16500,16500,16500.0,175.56927005745902,175.56927005745902,175.56927005745902
整租·宝昌路620弄 1室1厅 南,静安-西藏北路-宝昌路620弄,36.5,1,4900,4900,4900.0,134.24657534246575,134.24657534246575,134.24657534246575
整租·骏豪国际 1室1厅 南,静安-南京西路-骏豪国际,59.06,1,8800,8800,8800.0,149.0010159160176,149.0010159160176,149.0010159160176
整租·中华新路893弄 2室0厅 南,静安-不夜城-中华新路893弄,39.23,2,5800,5800,5800.0,147.8460361967882,147.8460361967882,147.8460361967882
整租·银都一村 1室0厅 南,静安-彭浦-银都一村,34.79,1,3000,3000,3000.0,86.23167576889911,86.23167576889911,86.23167576889911
整租·龙盛佳苑 1室1厅 南,静安-阳城-龙盛佳苑,46.14,1,5000,5000,5000.0,108.3658430862592,108.3658430862592,108.3658430862592
整租·中行小区 1室1厅 东,静安-曹家渡-中行小区,43.87,1,5500,5500,5500.0,125.37041258263051,125.37041258263051,125.37041258263051
整租·康平小区 1室0厅 南,静安-彭浦-康平小区,35.35,1,3700,3700,3700.0,104.66760961810466,104.66760961810466,104.66760961810466
整租·万航公寓 1室1厅 南,静安-曹家渡-万航公寓,45.23,1,6500,6500,6500.0,143.70992703957552,143.70992703957552,143.70992703957552
整租·中华新路810号 2室1厅 南,静安-不夜城-中华新路810号,45.36,2,6500,6500,6500.0,143.29805996472663,143.29805996472663,143.29805996472663
整租·姚西小区 2室1厅 南,静安-曹家渡-姚西小区,57.66,2,7000,7000,7000.0,121.40131807145336,121.40131807145336,121.40131807145336
整租·瀚林世家 1室1厅 南,静安-曹家渡-瀚林世家,69.69,1,12500,12500,12500.0,179.36576266322285,179.36576266322285,179.36576266322285
整租·紫祥小区 1室1厅 南,静安-不夜城-紫祥小区,32.95,1,4600,4600,4600.0,139.60546282245826,139.60546282245826,139.60546282245826
