title,name,area,rooms,price_lower,price_upper,price_average,price_square_lower,price_square_upper,price_square_average
整租·察慈小区 1室1厅 南,东城-东直门-察慈小区,49.33,1,7000,7000,7000.0,141.90147982971823,141.90147982971823,141.90147982971823
整租·豆瓣胡同 2室1厅 东/西,东城-朝阳门内-豆瓣胡同,71.49,2,10000,10000,10000.0,139.87970345502868,139.87970345502868,139.87970345502868
整租·广渠家园 2室1厅 北,东城-广渠门-广渠家园,63.0,2,5200,5200,5200.0,82.53968253968254,82.53968253968254,82.53968253968254
整租·新奥洋房 1室1厅 西,东城-永定门-新奥洋房,42.87,1,5200,5200,5200.0,121.29694425005832,121.29694425005832,121.29694425005832
整租·青年湖东里 3室1厅 东/北,东城-安定门-青年湖东里,66.74,3,7500,7500,7500.0,112.37638597542704,112.37638597542704,112.37638597542704
整租·工体3号 1室0厅 南,东城-工体-工体3号,35.94,1,5800,5800,5800.0,161.38007790762381,161.38007790762381,161.38007790762381
整租·胡家园小区 1室1厅 南,东城-东直门-胡家园小区,42.66,1,6000,6000,6000.0,140.64697609001408,140.64697609001408,140.64697609001408
整租·民安小区民安街 3室2厅 南/北,东城-东直门-民安小区民安街,120.0,3,13500,13500,13500.0,112.5,112.5,112.5
整租·新永外文化用品商城 2室1厅 南,东城-永定门-新永外文化用品商城,75.0,2,8100,8100,8100.0,108.0,108.0,108.0
整租·定安里 2室1厅 南,东城-永定门-定安里,53.99,2,5500,5500,5500.0,101.87071679940729,101.87071679940729,101.87071679940729
整租·西青年沟 1室1厅 南,东城-安贞-西青年沟,42.16,1,6800,6800,6800.0,161.29032258064518,161.29032258064518,161.29032258064518
整租·香河园北里 1室1厅 东,东城-东直门-香河园北里,43.0,1,5300,5300,5300.0,123.25581395348837,123.25581395348837,123.25581395348837
整租·东革新里40号院 1室1厅 南,东城-永定门-东革新里40号院,45.0,1,5500,5500,5500.0,122.22222222222223,122.22222222222223,122.22222222222223
整租·民安小区东扬威街 2室1厅 南/北,东城-东直门-民安小区东扬威街,74.23,2,9700,9700,9700.0,130.6749292738785,130.6749292738785,130.6749292738785
整租·朝阳门南小街 2室1厅 南/北,东城-朝阳门内-朝阳门南小街,70.0,2,9500,9500,9500.0,135.71428571428572,135.71428571428572,135.71428571428572
整租·新景家园东区 1室1厅 南,东城-崇文门-新景家园东区,61.0,1,7800,7800,7800.0,127.8688524590164,127.8688524590164,127.8688524590164
整租·和平里三区 1室1厅 南/北,东城-和平里-和平里三区,45.0,1,5300,5300,5300.0,117.77777777777777,117.77777777777777,117.77777777777777
整租·东四六条 3室0厅 东,东城-东四-东四六条,17.6,3,5000,5000,5000.0,284.09090909090907,284.09090909090907,284.09090909090907
整租·东方银座 3室1厅 东/东北,东城-东直门-东方银座,138.64,3,20000,20000,20000.0,144.25851125216388,144.25851125216388,144.25851125216388
整租·广渠家园 2室2厅 西,东城-广渠门-广渠家园,71.54,2,5500,5500,5500.0,76.88006709533127,76.88006709533127,76.88006709533127
整租·大兴胡同 1室0厅 东,东城-交道口-大兴胡同,20.0,1,3500,3500,3500.0,175.0,175.0,175.0
整租·东直门南大街 1室1厅 东,东城-东直门-东直门南大街,42.02,1,7400,7400,7400.0,176.1066158971918,176.1066158971918,176.1066158971918
整租·革新里24号院 2室1厅 东,东城-永定门-革新里24号院,60.0,2,5300,5300,5300.0,88.33333333333333,88.33333333333333,88.33333333333333
整租·西革新里124号 2室1厅 南,东城-永定门-西革新里124号,50.84,2,5500,5500,5500.0,108.1825334382376,108.1825334382376,108.1825334382376
整租·和平里一区 2室1厅 南,东城-和平里-和平里一区,69.08,2,8500,8500,8500.0,123.04574406485234,123.04574406485234,123.04574406485234
整租·左安漪园 3室2厅 东/北,东城-左安门-左安漪园,139.0,3,15500,15500,15500.0,111.51079136690647,111.51079136690647,111.51079136690647
整租·华人一品大厦 1房间 北,东城-东四-华人一品大厦,28.0,1,6000,6000,6000.0,214.28571428571428,214.28571428571428,214.28571428571428
整租·大方家胡同 2室0厅 东/西,东城-朝阳门内-大方家胡同,52.0,2,7500,7500,7500.0,144.23076923076923,144.23076923076923,144.23076923076923
整租·左安浦园 3室1厅 西,东城-左安门-左安浦园,75.0,3,6500,6500,6500.0,86.66666666666667,86.66666666666667,86.66666666666667
整租·前门前酒店公寓 1房间 东北,东城-天坛-前门前酒店公寓,50.11,1,5000,5000,5000.0,99.78048293753741,99.78048293753741,99.78048293753741
整租·建国门北大街5号 1室1厅 南,东城-建国门内-建国门北大街5号,66.1,1,8200,8200,8200.0,124.05446293494705,124.05446293494705,124.05446293494705
整租·景泰西里 3室1厅 南/西/北,东城-永定门-景泰西里,57.0,3,6600,6600,6600.0,115.78947368421052,115.78947368421052,115.78947368421052
整租·体育馆路12号 1室1厅 南,东城-左安门-体育馆路12号,44.0,1,5600,5600,5600.0,127.27272727272727,127.27272727272727,127.27272727272727
整租·兴隆都市馨园 1室1厅 南,东城-崇文门-兴隆都市馨园,52.0,1,6500,6500,6500.0,125.0,125.0,125.0
整租·察慈小区 2室1厅 南,东城-东直门-察慈小区,74.0,2,8500,8500,8500.0,114.86486486486487,114.86486486486487,114.86486486486487
整租·东直门内大街 2室1厅 西南,东城-东直门-东直门内大街,71.62,2,3700,3700,3700.0,51.66154705389555,51.66154705389555,51.66154705389555
整租·北京INN 2房间 复式 北,东城-朝阳门内-北京INN,122.0,2,8600,8600,8600.0,70.49180327868852,70.49180327868852,70.49180327868852
整租·李村东里 1室1厅 西,东城-永定门-李村东里,43.0,1,5000,5000,5000.0,116.27906976744185,116.27906976744185,116.27906976744185
整租·正东国际大厦 3室1厅 东南,东城-东直门-正东国际大厦,312.0,3,30000,30000,30000.0,96.15384615384616,96.15384615384616,96.15384615384616
整租·冠城名敦道A区 1室1厅 南/西,东城-广渠门-冠城名敦道A区,84.88,1,10050,10050,10050.0,118.4024505183789,118.4024505183789,118.4024505183789
整租·察慈小区 1室1厅 东,东城-东直门-察慈小区,59.0,1,7000,7000,7000.0,118.64406779661017,118.64406779661017,118.64406779661017
整租·宝钞苑 3室2厅 东/西,东城-安定门-宝钞苑,196.8,3,23500,23500,23500.0,119.41056910569105,119.41056910569105,119.41056910569105
整租·华人一品大厦 2房间 南,东城-东四-华人一品大厦,41.0,2,5500,5500,5500.0,134.14634146341464,134.14634146341464,134.14634146341464
整租·车辇店胡同 1室1厅 南,东城-安定门-车辇店胡同,54.15,1,8800,8800,8800.0,162.51154201292707,162.51154201292707,162.51154201292707
整租·十字坡西里 2室1厅 南,东城-东直门-十字坡西里,52.54,2,7500,7500,7500.0,142.7483821850019,142.7483821850019,142.7483821850019
整租·建国门内大街 2室1厅 南/北,东城-建国门外-建国门内大街,93.58,2,15000,15000,15000.0,160.29066039752084,160.29066039752084,160.29066039752084
整租·冠城名敦道B区 2室1厅 东/南/北,东城-广渠门-冠城名敦道B区,129.41,2,15000,15000,15000.0,115.91067150915694,115.91067150915694,115.91067150915694
整租·沙滩南巷 2室1厅 南/北,东城-灯市口-沙滩南巷,54.26,2,8000,8000,8000.0,147.43826022852932,147.43826022852932,147.43826022852932
整租·和平里五区 1室1厅 西南,东城-和平里-和平里五区,40.57,1,5200,5200,5200.0,128.17352723687455,128.17352723687455,128.17352723687455
整租·盛德紫阙 1室1厅 东/北,东城-和平里-盛德紫阙,86.8,1,12400,12400,12400.0,142.85714285714286,142.85714285714286,142.85714285714286
整租·幸福北里 2室1厅 东,东城-广渠门-幸福北里,50.76,2,6400,6400,6400.0,126.0835303388495,126.0835303388495,126.0835303388495
整租·华人一品大厦 1房间 北,东城-东四-华人一品大厦,18.0,1,3300,3300,3300.0,183.33333333333334,183.33333333333334,183.33333333333334
整租·建国门北大街5号 3室1厅 南,东城-建国门内-建国门北大街5号,300.0,3,45000,45000,45000.0,150.0,150.0,150.0
整租·民安小区东直门北中街 2室1厅 东/西,东城-东直门-民安小区东直门北中街,78.01,2,9200,9200,9200.0,117.93359825663376,117.93359825663376,117.93359825663376
整租·东花市北里中区 2室1厅 东/西,东城-东花市-东花市北里中区,67.13,2,7000,7000,7000.0,104.27528675703859,104.27528675703859,104.27528675703859
整租·桃条胡同 1室0厅 东,东城-交道口-桃条胡同,24.47,1,6000,6000,6000.0,245.1982018798529,245.1982018798529,245.1982018798529
整租·华人一品大厦 2房间 北,东城-东四-华人一品大厦,56.0,2,5600,5600,5600.0,100.0,100.0,100.0
整租·左安漪园 3室1厅 东,东城-左安门-左安漪园,111.7,3,11000,11000,11000.0,98.47806624888094,98.47806624888094,98.47806624888094
整租·和平里一区 2室1厅 南/北,东城-和平里-和平里一区,53.85,2,6800,6800,6800.0,126.27669452181986,126.27669452181986,126.27669452181986
整租·和平里五区 2室1厅 南/北,东城-和平里-和平里五区,55.12,2,6000,6000,6000.0,108.8534107402032,108.8534107402032,108.8534107402032
整租·青龙胡同 1室1厅 北,东城-东直门-青龙胡同,31.0,1,5300,5300,5300.0,170.96774193548387,170.96774193548387,170.96774193548387
整租·东直门外大街(东城） 1室1厅 南,东城-东直门-东直门外大街(东城）,38.38,1,6300,6300,6300.0,164.14799374674308,164.14799374674308,164.14799374674308
整租·东黄城根北街40号院 1室1厅 东/西,东城-东四-东黄城根北街40号院,38.0,1,7000,7000,7000.0,184.21052631578948,184.21052631578948,184.21052631578948
整租·兴隆都市馨园 3室2厅 复式 南/北,东城-崇文门-兴隆都市馨园,105.2,3,12500,12500,12500.0,118.8212927756654,118.8212927756654,118.8212927756654
整租·东中街 2室1厅 南/北,东城-东直门-东中街,62.39,2,8300,8300,8300.0,133.03414008655233,133.03414008655233,133.03414008655233
整租·东花市北里西区 2室1厅 南/北,东城-东花市-东花市北里西区,132.0,2,13000,13000,13000.0,98.48484848484848,98.48484848484848,98.48484848484848
整租·东直门南大街 1室1厅 西,东城-东直门-东直门南大街,39.93,1,7000,7000,7000.0,175.30678687703482,175.30678687703482,175.30678687703482
整租·金鱼池东区 1室0厅 西,东城-天坛-金鱼池东区,42.85,1,5500,5500,5500.0,128.35472578763128,128.35472578763128,128.35472578763128
整租·朗家胡同13号院 3室1厅 南/北,东城-安定门-朗家胡同13号院,67.34,3,9800,9800,9800.0,145.53014553014552,145.53014553014552,145.53014553014552
整租·水上华城 3室2厅 东南,东城-广渠门-水上华城,146.01,3,13000,13000,13000.0,89.03499760290391,89.03499760290391,89.03499760290391
整租·小羊宜宾胡同 2室1厅 南,东城-建国门内-小羊宜宾胡同,55.0,2,7600,7600,7600.0,138.1818181818182,138.1818181818182,138.1818181818182
整租·青年湖东里 2室1厅 南/北,东城-安定门-青年湖东里,60.78,2,6500,6500,6500.0,106.94307337940111,106.94307337940111,106.94307337940111
整租·东直门外小街8号院 1室1厅 东/西,东城-东直门-东直门外小街8号院,52.0,1,5800,5800,5800.0,111.53846153846153,111.53846153846153,111.53846153846153
整租·金世纪嘉园 2室1厅 北,东城-广渠门-金世纪嘉园,65.6,2,7100,7100,7100.0,108.23170731707317,108.23170731707317,108.23170731707317
整租·南竹杆胡同 1室1厅 南,东城-朝阳门内-南竹杆胡同,47.51,1,2200,2200,2200.0,46.30604083350874,46.30604083350874,46.30604083350874
整租·新景家园东区 2室1厅 南/北,东城-崇文门-新景家园东区,81.0,2,9000,9000,9000.0,111.11111111111111,111.11111111111111,111.11111111111111
整租·金鱼池中区 3室1厅 东/西,东城-天坛-金鱼池中区,86.82,3,9000,9000,9000.0,103.66275051831376,103.66275051831376,103.66275051831376
整租·苏州胡同 2室1厅 南/北,东城-建国门内-苏州胡同,65.0,2,8500,8500,8500.0,130.76923076923077,130.76923076923077,130.76923076923077
整租·朝阳门内大街 1室1厅 东,东城-朝阳门内-朝阳门内大街,49.72,1,7600,7600,7600.0,152.85599356395818,152.85599356395818,152.85599356395818
整租·东华门大街 1室1厅 南,东城-东单-东华门大街,39.58,1,6800,6800,6800.0,171.80394138453767,171.80394138453767,171.80394138453767
整租·华府景园 2室2厅 西,东城-安定门-华府景园,98.91,2,13500,13500,13500.0,136.4877161055505,136.4877161055505,136.4877161055505
整租·安外大街80号院 2室1厅 东/西,东城-和平里-安外大街80号院,55.16,2,6400,6400,6400.0,116.02610587382162,116.02610587382162,116.02610587382162
整租·大龙公寓 2室1厅 东/南,东城-安贞-大龙公寓,85.54,2,11000,11000,11000.0,128.59480944587327,128.59480944587327,128.59480944587327
整租·三秀涵雅 2室1厅 东南,东城-安定门-三秀涵雅,90.0,2,10100,10100,10100.0,112.22222222222223,112.22222222222223,112.22222222222223
整租·西香河园 1室1厅 南/北,东城-东直门-西香河园,40.0,1,6200,6200,6200.0,155.0,155.0,155.0
整租·东方财富 1室0厅 西,东城-广渠门-东方财富,44.82,1,5200,5200,5200.0,116.01963409192325,116.01963409192325,116.01963409192325
整租·安外东河沿 2室1厅 南,东城-安定门-安外东河沿,59.68,2,9200,9200,9200.0,154.15549597855227,154.15549597855227,154.15549597855227
整租·本家润园C区 2室1厅 东,东城-东花市-本家润园C区,67.48,2,7600,7600,7600.0,112.62596324836989,112.62596324836989,112.62596324836989
整租·龙潭北里 2室1厅 南/北,东城-左安门-龙潭北里,60.0,2,7300,7300,7300.0,121.66666666666667,121.66666666666667,121.66666666666667
整租·向新西里 2室1厅 南,东城-左安门-向新西里,53.72,2,5600,5600,5600.0,104.24422933730455,104.24422933730455,104.24422933730455
整租·左安浦园 1室1厅 南,东城-左安门-左安浦园,70.0,1,6100,6100,6100.0,87.14285714285714,87.14285714285714,87.14285714285714
整租·东花市北里中区 2室2厅 南/北,东城-东花市-东花市北里中区,89.09,2,7800,7800,7800.0,87.55191379503871,87.55191379503871,87.55191379503871
整租·东交民巷32号院 2室0厅 东,东城-前门-东交民巷32号院,49.14,2,5800,5800,5800.0,118.03011803011803,118.03011803011803,118.03011803011803
整租·金鱼池中区 4室2厅 南/北,东城-天坛-金鱼池中区,151.59,4,12000,12000,12000.0,79.16089451810805,79.16089451810805,79.16089451810805
整租·太华公寓 1室1厅 西,东城-崇文门-太华公寓,65.0,1,7800,7800,7800.0,120.0,120.0,120.0
整租·崇文门西大街 3室1厅 南/北,东城-崇文门-崇文门西大街,70.0,3,9500,9500,9500.0,135.71428571428572,135.71428571428572,135.71428571428572
整租·东四十条甲34号院 2室1厅 东南,东城-朝阳门内-东四十条甲34号院,65.0,2,8800,8800,8800.0,135.3846153846154,135.3846153846154,135.3846153846154
整租·安德路乙61号院 2室1厅 西,东城-安定门-安德路乙61号院,80.37,2,15000,15000,15000.0,186.6368047779022,186.6368047779022,186.6368047779022
整租·左安浦园 2室1厅 东,东城-左安门-左安浦园,78.0,2,7500,7500,7500.0,96.15384615384616,96.15384615384616,96.15384615384616
整租·南门仓胡同 3室1厅 南/北,东城-朝阳门内-南门仓胡同,86.0,3,15500,15500,15500.0,180.2325581395349,180.2325581395349,180.2325581395349
整租·南月牙胡同 1室1厅 东/北,东城-东四-南月牙胡同,40.0,1,4400,4400,4400.0,110.0,110.0,110.0
整租·玉石胡同 2室1厅 南/北,东城-灯市口-玉石胡同,55.75,2,5100,5100,5100.0,91.4798206278027,91.4798206278027,91.4798206278027
整租·安外花园 3室1厅 南/北,东城-和平里-安外花园,61.04,3,8500,8500,8500.0,139.25294888597642,139.25294888597642,139.25294888597642
整租·贡院九号 3室1厅 西南,东城-建国门内-贡院九号,177.19,3,28000,28000,28000.0,158.02246176420792,158.02246176420792,158.02246176420792
整租·丹耀大厦 5室2厅 复式 南/北,东城-东单-丹耀大厦,312.01,5,40000,40000,40000.0,128.20101919810264,128.20101919810264,128.20101919810264
整租·桃杨路教师楼 3室2厅 南/北,东城-永定门-桃杨路教师楼,86.2,3,8500,8500,8500.0,98.60788863109049,98.60788863109049,98.60788863109049
整租·交道口东大街 2室1厅 南,东城-交道口-交道口东大街,79.0,2,12500,12500,12500.0,158.22784810126583,158.22784810126583,158.22784810126583
整租·玉石胡同 1室1厅 南,东城-灯市口-玉石胡同,45.0,1,7000,7000,7000.0,155.55555555555554,155.55555555555554,155.55555555555554
整租·月牙胡同 5室2厅 东/南/西,东城-东四-月牙胡同,111.8,5,85000,85000,85000.0,760.2862254025044,760.2862254025044,760.2862254025044
整租·悠胜美苑 5室1厅 南,东城-永定门-悠胜美苑,202.0,5,18000,18000,18000.0,89.10891089108911,89.10891089108911,89.10891089108911
整租·和平里七区 2室1厅 南,东城-和平里-和平里七区,54.0,2,7200,7200,7200.0,133.33333333333334,133.33333333333334,133.33333333333334
整租·民安小区东扬威街 4室2厅 南,东城-东直门-民安小区东扬威街,131.01,4,25000,25000,25000.0,190.82512785283566,190.82512785283566,190.82512785283566
整租·法华南里 1室1厅 东,东城-崇文门-法华南里,48.0,1,5700,5700,5700.0,118.75,118.75,118.75
整租·朝阳首府 3室1厅 西南,东城-朝阳门内-朝阳首府,171.0,3,35000,35000,35000.0,204.6783625730994,204.6783625730994,204.6783625730994
整租·国瑞城中区 3室2厅 南/北,东城-崇文门-国瑞城中区,153.0,3,24000,24000,24000.0,156.86274509803923,156.86274509803923,156.86274509803923
整租·东黄城根北街40号院 1室1厅 东,东城-东四-东黄城根北街40号院,43.45,1,6200,6200,6200.0,142.69275028768698,142.69275028768698,142.69275028768698
整租·龙潭西里 1室1厅 西北,东城-左安门-龙潭西里,43.0,1,5100,5100,5100.0,118.6046511627907,118.6046511627907,118.6046511627907
整租·京城仁合 2室2厅 南/北,东城-广渠门-京城仁合,125.48,2,14500,14500,14500.0,115.55626394644564,115.55626394644564,115.55626394644564
整租·兴隆都市馨园 2室1厅 南,东城-崇文门-兴隆都市馨园,52.76,2,7100,7100,7100.0,134.57164518574677,134.57164518574677,134.57164518574677
整租·本家润园C区 2室1厅 南,东城-东花市-本家润园C区,88.18,2,10200,10200,10200.0,115.67248809253798,115.67248809253798,115.67248809253798
整租·朝内大街203号院 2室1厅 西/北,东城-东四-朝内大街203号院,64.98,2,4600,4600,4600.0,70.79101261926746,70.79101261926746,70.79101261926746
整租·京城仁合 2室1厅 东/西,东城-广渠门-京城仁合,83.87,2,7990,7990,7990.0,95.26648384404434,95.26648384404434,95.26648384404434
整租·左安浦园 1室1厅 东,东城-左安门-左安浦园,67.0,1,5600,5600,5600.0,83.58208955223881,83.58208955223881,83.58208955223881
整租·左安浦园 1室1厅 南/西,东城-左安门-左安浦园,85.0,1,6400,6400,6400.0,75.29411764705883,75.29411764705883,75.29411764705883
整租·法华南里 2室1厅 东/西,东城-崇文门-法华南里,65.0,2,7500,7500,7500.0,115.38461538461539,115.38461538461539,115.38461538461539
整租·东直门北大街 2室1厅 东/西,东城-东直门-东直门北大街,62.98,2,7200,7200,7200.0,114.32200698634487,114.32200698634487,114.32200698634487
整租·龙潭北里 4室2厅 南/西/北,东城-左安门-龙潭北里,166.0,4,18000,18000,18000.0,108.43373493975903,108.43373493975903,108.43373493975903
整租·向新西里 1室1厅 南,东城-左安门-向新西里,43.75,1,5000,5000,5000.0,114.28571428571429,114.28571428571429,114.28571428571429
整租·朝内大街136号院 1室1厅 南,东城-朝阳门内-朝内大街136号院,58.85,1,8400,8400,8400.0,142.7357689039932,142.7357689039932,142.7357689039932
整租·前肖家胡同 1室1厅 南,东城-安定门-前肖家胡同,15.2,1,3200,3200,3200.0,210.5263157894737,210.5263157894737,210.5263157894737
整租·法华南里 1室1厅 东/西,东城-崇文门-法华南里,65.18,1,7300,7300,7300.0,111.99754525928198,111.99754525928198,111.99754525928198
整租·花园胡同 3室1厅 南/西/北,东城-安定门-花园胡同,82.0,3,13199,13199,13199.0,160.96341463414635,160.96341463414635,160.96341463414635
整租·阳光都市 1室1厅 东,东城-工体-阳光都市,86.47,1,10800,10800,10800.0,124.89880883543425,124.89880883543425,124.89880883543425
整租·东四八条 2室1厅 西,东城-东四-东四八条,30.7,2,5400,5400,5400.0,175.89576547231272,175.89576547231272,175.89576547231272
整租·新景家园东区 1室1厅 东/西,东城-崇文门-新景家园东区,67.8,1,7900,7900,7900.0,116.51917404129794,116.51917404129794,116.51917404129794
整租·小羊宜宾胡同 2室1厅 南,东城-建国门内-小羊宜宾胡同,55.1,2,8000,8000,8000.0,145.19056261343013,145.19056261343013,145.19056261343013
整租·青年湖南街 1室1厅 东/西,东城-安定门-青年湖南街,49.0,1,6700,6700,6700.0,136.73469387755102,136.73469387755102,136.73469387755102
整租·仓南胡同12号院 3室1厅 南/北,东城-朝阳门内-仓南胡同12号院,65.42,3,8500,8500,8500.0,129.92968511158668,129.92968511158668,129.92968511158668
整租·和平里一区 1室1厅 南,东城-和平里-和平里一区,29.02,1,4000,4000,4000.0,137.83597518952448,137.83597518952448,137.83597518952448
整租·和平里中街3号院 2室1厅 西/北,东城-和平里-和平里中街3号院,79.82,2,10500,10500,10500.0,131.54597845151594,131.54597845151594,131.54597845151594
整租·北京INN 2室1厅 东,东城-朝阳门内-北京INN,103.0,2,16000,16000,16000.0,155.3398058252427,155.3398058252427,155.3398058252427
整租·小黄庄一区 2室1厅 南/北,东城-安贞-小黄庄一区,60.0,2,7300,7300,7300.0,121.66666666666667,121.66666666666667,121.66666666666667
整租·东四二条 1室1厅 南,东城-东四-东四二条,14.7,1,7500,7500,7500.0,510.2040816326531,510.2040816326531,510.2040816326531
整租·冠城名敦道A区 1室0厅 西,东城-广渠门-冠城名敦道A区,68.68,1,7600,7600,7600.0,110.658124635993,110.658124635993,110.658124635993
整租·国瑞城西区 1室0厅 北,东城-崇文门-国瑞城西区,67.0,1,8200,8200,8200.0,122.38805970149254,122.38805970149254,122.38805970149254
整租·太华公寓 1室1厅 南,东城-崇文门-太华公寓,99.56,1,10500,10500,10500.0,105.46404178384893,105.46404178384893,105.46404178384893
整租·夕照寺西里 2室1厅 南,东城-广渠门-夕照寺西里,44.02,2,5600,5600,5600.0,127.21490231712856,127.21490231712856,127.21490231712856
整租·安外大街 1室1厅 东,东城-安贞-安外大街,46.83,1,6300,6300,6300.0,134.5291479820628,134.5291479820628,134.5291479820628
整租·史家胡同20号院 3室1厅 东/南,东城-金宝街-史家胡同20号院,65.0,3,10000,10000,10000.0,153.84615384615384,153.84615384615384,153.84615384615384
整租·和平里中街3号院 2室1厅 西南/西,东城-和平里-和平里中街3号院,80.0,2,9900,9900,9900.0,123.75,123.75,123.75
整租·鸿运花园 3室2厅 南/北,东城-左安门-鸿运花园,170.0,3,20000,20000,20000.0,117.6470588235294,117.6470588235294,117.6470588235294
整租·东方银座 1室1厅 南,东城-东直门-东方银座,83.33,1,9800,9800,9800.0,117.60470418816753,117.60470418816753,117.60470418816753
整租·新景家园东区 1室0厅 东,东城-崇文门-新景家园东区,43.0,1,6700,6700,6700.0,155.8139534883721,155.8139534883721,155.8139534883721
整租·前永康胡同 1室0厅 南,东城-东直门-前永康胡同,21.0,1,3500,3500,3500.0,166.66666666666666,166.66666666666666,166.66666666666666
整租·东花市北里中区 1室1厅 西,东城-东花市-东花市北里中区,48.0,1,5600,5600,5600.0,116.66666666666667,116.66666666666667,116.66666666666667
整租·国瑞城中区 2室1厅 西,东城-崇文门-国瑞城中区,71.67,2,7800,7800,7800.0,108.8321473419841,108.8321473419841,108.8321473419841
整租·中景濠庭 2室2厅 南/西/北,东城-安定门-中景濠庭,121.4,2,18900,18900,18900.0,155.6836902800659,155.6836902800659,155.6836902800659
整租·东革新里40号院 2室1厅 南/北,东城-永定门-东革新里40号院,58.0,2,5600,5600,5600.0,96.55172413793103,96.55172413793103,96.55172413793103
整租·东后河沿 4室2厅 东/西,东城-崇文门-东后河沿,188.88,4,23500,23500,23500.0,124.41761965268954,124.41761965268954,124.41761965268954
整租·华人一品大厦 1房间 南,东城-东四-华人一品大厦,18.96,1,4500,4500,4500.0,237.3417721518987,237.3417721518987,237.3417721518987
