title,name,area,rooms,price_lower,price_upper,price_average,price_square_lower,price_square_upper,price_square_average
整租·佳润临江上品 4室1厅 南,天河-员村-佳润临江上品,91.00,4,11000,11000,11000.0,120.87912087912088,120.87912087912088,120.87912087912088
独栋·荔园公寓 红花岗上街一巷16号 精装单间C户型 开间,天河-员村-佳润临江上品,91.00,4,550,550,550.0,6.043956043956044,6.043956043956044,6.043956043956044
整租·盈彩美居 3室2厅 北,天河-东圃-盈彩美居,87.00,3,4300,4300,4300.0,49.42528735632184,49.42528735632184,49.42528735632184
独栋·朗诗寓 天平架店 全天安保单身女性首选 开间,天河-东圃-盈彩美居,87.00,3,1696,1696,1696.0,19.49425287356322,19.49425287356322,19.49425287356322
整租·棠东东南路 1室1厅 东,天河-棠下-棠东东南路,30.00,1,1650,1650,1650.0,55.0,55.0,55.0
独栋·泊寓 体育西路店 体育西租房 珠江新城 11户型经济精致单间无中介 拎包入住 开间,天河-棠下-棠东东南路,30.00,1,2852,3690,3271.0,95.06666666666666,123.0,109.03333333333333
整租·金骏大厦 3室2厅 南/北,天河-珠江新城东-金骏大厦,109.00,3,7000,7000,7000.0,64.22018348623853,64.22018348623853,64.22018348623853
独栋·广州城寓 智慧城店 小新塘小区70平两房 可短租可养宠物 2室1厅,天河-珠江新城东-金骏大厦,109.00,3,3600,3600,3600.0,33.027522935779814,33.027522935779814,33.027522935779814
整租·金润大厦 1室1厅 东/东南/南/西南,天河-天润路-金润大厦,41.00,1,3600,3600,3600.0,87.8048780487805,87.8048780487805,87.8048780487805
独栋·越秀星寓 珠江新城 开阔阳光房 开间,天河-天润路-金润大厦,41.00,1,6838,6838,6838.0,166.78048780487805,166.78048780487805,166.78048780487805
整租·星汇国际大厦 1室1厅 南,天河-珠江新城西-星汇国际大厦,70.00,1,6000,6000,6000.0,85.71428571428571,85.71428571428571,85.71428571428571
独栋·蓝堡.雅苑 蓝堡雅苑（5号） 温馨情侣单间 开间,天河-珠江新城西-星汇国际大厦,70.00,1,1200,1200,1200.0,17.142857142857142,17.142857142857142,17.142857142857142
整租·荟雅苑 3室2厅 南,天河-林和-荟雅苑,112.00,3,8500,8500,8500.0,75.89285714285714,75.89285714285714,75.89285714285714
独栋·家公寓 天河智慧城店 温暖阳光大单间 开间,天河-林和-荟雅苑,112.00,3,1280,1280,1280.0,11.428571428571429,11.428571428571429,11.428571428571429
整租·乐意居花园 3室2厅 南,天河-长兴-乐意居花园,108.00,3,4800,4800,4800.0,44.44444444444444,44.44444444444444,44.44444444444444
整租·佳润临江上品 2室1厅 南,天河-员村-佳润临江上品,80.00,2,6500,6500,6500.0,81.25,81.25,81.25
整租·万科云城米酷 1室1厅 东,天河-智慧城-万科云城米酷,25.00,1,3000,3000,3000.0,120.0,120.0,120.0
独栋·TOP青年社区 车陂南店 长租优惠 电梯套间 视野好拎包入住 开间,天河-智慧城-万科云城米酷,25.00,1,2000,2000,2000.0,80.0,80.0,80.0
整租·德荣小区 2室2厅 南,天河-龙口西-德荣小区,75.00,2,4800,4800,4800.0,64.0,64.0,64.0
整租·兰亭盛荟 3室2厅 东南,天河-东圃-兰亭盛荟,91.00,3,6500,6500,6500.0,71.42857142857143,71.42857142857143,71.42857142857143
整租·禺东西路 2室1厅 南,天河-林和-禺东西路,70.50,2,3300,3300,3300.0,46.808510638297875,46.808510638297875,46.808510638297875
