title,name,area,rooms,price_lower,price_upper,price_average,price_square_lower,price_square_upper,price_square_average
整租·深业东岭一期 1室1厅 南,罗湖区-黄贝岭-深业东岭一期,33.11,1,3800,3800,3800.0,114.76895197825431,114.76895197825431,114.76895197825431
合租·松园南小区 4居室 南卧,罗湖区-黄贝岭-深业东岭一期,33.11,1,1690,1690,1690.0,51.04198127453942,51.04198127453942,51.04198127453942
整租·华盛君荟名庭 1室1厅 东南,罗湖区-东门-华盛君荟名庭,45.00,1,4200,4200,4200.0,93.33333333333333,93.33333333333333,93.33333333333333
合租·碧岭华庭 5居室 东卧,罗湖区-东门-华盛君荟名庭,45.00,1,1130,1130,1130.0,25.11111111111111,25.11111111111111,25.11111111111111
整租·兰亭国际名园 3室2厅 东南,罗湖区-莲塘-兰亭国际名园,133.00,3,8800,8800,8800.0,66.16541353383458,66.16541353383458,66.16541353383458
独栋·融寓 红岭地铁店 可短租 部分带大阳台 开间,罗湖区-莲塘-兰亭国际名园,133.00,3,3211,3344,3277.5,24.142857142857142,25.142857142857142,24.642857142857142
整租·凤凰印象 1室1厅 西南,罗湖区-螺岭-凤凰印象,43.72,1,3900,3900,3900.0,89.20402561756633,89.20402561756633,89.20402561756633
独栋·深圳众悦公寓 笋岗地铁站店 直租电梯房可短租 开间,罗湖区-螺岭-凤凰印象,43.72,1,3600,3600,3600.0,82.34217749313815,82.34217749313815,82.34217749313815
整租·泊林花园 2室2厅 西南,罗湖区-翠竹-泊林花园,71.88,2,6500,6500,6500.0,90.42849193099612,90.42849193099612,90.42849193099612
独栋·深圳青柠公寓 苜宿·莲塘口岸店 特惠无遮挡阳光超大房 1室1厅,罗湖区-翠竹-泊林花园,71.88,2,2180,2180,2180.0,30.328324986087924,30.328324986087924,30.328324986087924
整租·祥福雅居 1室1厅 北,罗湖区-笋岗-祥福雅居,38.00,1,3800,3800,3800.0,100.0,100.0,100.0
